Domain,Company,company_clean,public_emails_clean,Industry Groups,Employees,City,State,Country,Description,Plan,Revenue Est Monthly,Store Age Years,Product Count,App Spend Mo,Key Apps,Tech Stack,Trustpilot Rating,Trustpilot Reviews,Migrated From,Social Followers,Features,segment,query_name,ingested_at,Source,MV P0,BB,Final Email,Status,Israeli DTC Shopify 10k+ - Contacts - 2026-07-19
iconix.co.il,ICONIX,ICONIX,"https://www.tiktok.com/@iconix.smart.ritual, info@iconix.co.il",/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,1,Kefar Sava,Center District,IL,"ב-24 השנים האחרונות אנחנו ב-ICONIX משקיעים בפיתוח וייצור של מוצרי קוסמטיקה מקצועית לעור הפנים. אנחנו משתמשים בתרכובות מיוחדות המבוססות על חומרים טבעיים ואורגניים וחומרים פעילים אפקטיביים, תוך שמירה על סטנדרטים בלתי מתפשרים, בדיקות דרמטולוגיות, מבחנים קליניים ואישורי משרד הבריאות. בואי כמו שאת, מחכים לך.",Shopify Plus,130990,6.6,30,5,"Accessibly, BixGrow Affiliate Marketing, Instafeed ‑ Instagram Feed, Klaviyo: Email Marketing & SMS, Loox ‑ Product Reviews App","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,woocommerce (2022),,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,goldshteiniconix.co.il
skechers.co.il,www.skechers.co.il,www.skechers.co.il,"https://www.tiktok.com/@skechers_israel, contact@skechers.co.il",/Apparel/Footwear,8619,Holon,Center District,IL,"Skechers Israel -מעצמת נעליים בפריסה עולמית עם מגוון רחב של נעליים לכל גיל וסגנון, וכן ביגוד ספורט, אקסוסריז ועוד. לרכישת נעליים וביגוד איכותיים בקרו עכשיו באתר!",Shopify Plus,211461,6.5,1950,85,"Adoric Bundles Volume discount, CartWizard: All‑in‑1 Discounts, ChatBot by Text, Shopify Checkout Blocks, Dondy: WhatsApp Marketing+Chat","Arrive, ChatBot, Cloudflare, Cloudflare CDN, Criteo",,,,TT 1.7k,"Shopify Online Store 2.0, Free Returns, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
elital.co.il,elital.co.il,elital.co.il,"elitalsupport@mgs.co.il, https://www.youtube.com/@elitalsport, https://www.tiktok.com/@elital_sport, support@mgs.co.il",/Apparel/Footwear,,Holon,Center District,IL,"אליטל - רשת נעליים המובילה בישראל! כל סוגי הנעליים במותגים המובילים והמוכרים, לרכישה נוחה אונליין. חנות נעליים באינטרנט עם מחירים מנצחים >",Shopify Plus,156851,3.6,1178,19,"AdScale AI Ads Meta/Google Ads, Shopify Checkout Blocks, KX AI Collections, Kiwi Size Chart & Recommender, Microsoft Clarity: AI Insights","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,,"Shopify New Customer Accounts, Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
biliblond.com,BILIBLOND SWIMWEAR,BILIBLOND SWIMWEAR,"sales@biliblond.com, biliblondsales@biliblond.com",/Apparel/Swimwear,,,,IL,"Inspired by the relaxed and free spirit of the Mediterranean Sea, BiliBlond swimwear blends timeless fashion with figure flattering designs to create stress-free swimwear without compromising style or quality.",,161815,9.3,581,33,"Accessibly, Lifter Age Check, SEOWILL ‑ 404 Link Redirect, Currency Converter Plus, Geolocation Redirects Geo:Pro","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense",,,,,"Shopify Online Store 2.0, International Shipping, New Shopify Checkout (2022), Accepts Gift Cards, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"hilaweinbergbiliblond.com,yardendavidbiliblond.com"
korenpub.co.il,korenpub.co.il,korenpub.co.il,"office@korenpub.com, webordersil@korenpub.com, marketing@korenpub.com",/Books & Literature,42,Jerusalem,Jerusalem District,IL,"הוצאת קורן ירושלים הינה אחת מהוצאות ספרי הקודש המובילות בעולם. מה שהתחיל בשנת 1962 כהוצאה משפחתית שהוציאה לאור את הספר התנ""ך בלבד, הפך עם השנים לחברה גדולה אשר תחתיה חמש הוצאות בת, המוציאות יחד לאור עשרות ספרים בשנה.",,73800,6.6,1426,30,"Restock & Back In Stock Alerts, PreCom ‑ coming soon preorders, Dr Free Gift, BOGO Buy X Get Y, GOAFFPRO ‑ Affiliate Marketing, Island ‑ Product Page Upsell","Arrive, Bold Commerce Platform, Cloudflare, Cloudflare CDN, Facebook Pixel",,,,,"Tracking Page, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
dealcosmetics.co.il,www.dealcosmetics.co.il,www.dealcosmetics.co.il,"https://www.tiktok.com/@deal.cosmetics, info@dealcosmetics.co.il",/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,,Giv'atayim,Tel Aviv District,IL,מוצרי טיפוח מקצועיים מעולמות הביוטי הנחשקים! כל מותגי הקוסמטיקה והטיפוח הנבחרים זמינים במלאי לקנייה אונליין עכשיו בדיל קוסמטיקס עם משלוח עד הבית! הזמינו עכשיו >>,Shopify Plus,201891,8.2,5408,39,"Adoric Bundles Volume discount, Affiliatly Affiliate Marketing, Antla AI Virtual Try On, Checkout Buddy, CodeInspire Accessibility Tool","Affiliatly, Apple Pay, Arrive, Cloudflare, Cloudflare CDN",,,custom (2022),TT 1.8k,"Brand Advocate Page, Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"liorlevidealcosmetics.co.il,yossilevidealcosmetics.co.il,shaylevidealcosmetics.co.il"
artemerstudio.com,ARTEMER Studio Jewelry Design,ARTEMER Studio Jewelry Design,"info@artemerstudio.com, https://www.tiktok.com/@artemerstudio, wholesale@artemerstudio.com",/Apparel/Clothing Accessories | /People & Society/Family & Relationships/Marriage | /Wedding,10,Ramat Gan,Tel Aviv District,IL,"ARTEMER is a Tel Aviv-based fine jewelry studio specializing in alternative engagement rings, wedding bands, and colored gemstone jewelry. Designed and handcrafted in our studio since 2011.",,1087389,8.2,1955,29,"Accessibility Assistant : ADA, Enorm Image gallery + Video, Kudobuzz Product Reviews & UGC, Mailchimp Email SMS Marketing, SC Product Options","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,,PIN 19k / TT 2.3k,"Returns Page, Shopify Online Store 2.0, International Shipping, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"yogevsegevartemerstudio.com,segevartemerstudio.com"
cottonclub.co.il,cottonclub.co.il,cottonclub.co.il,"https://www.tiktok.com/@cottonclubhome, info@cottonclub.co.il, office@cottonclub.co.il",/Home & Garden,418,Mishmarot,Haifa District,IL,"מצעי כותנה ברכות מיוחדת ואיכות ללא פשרות! מגוון רחב של מוצרים יפים לבית באיכות מעולה! מצעים, חלוקים, מגבות ומוצרי אירוח מושלמים.",Shopify Plus,103330,5.0,333,178,"Back In Stock,Notify Me: Kbite, CartBot: Gift with purchase, Checkout Buddy, GOAFFPRO ‑ Affiliate Marketing, Locksmith","Arrive, Cloudflare, Cloudflare CDN, Flashy, GoAffPro",,,wix (2023),TT 4.1k,"Shopify Online Store 2.0, Free Returns, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"ronamotzaficottonclub.co.il,mussafficottonclub.co.il,talyacottonclub.co.il"
mother-ofall.com,Mother of All,Mother of All,"contact@mother-ofall.com, info@mother-ofall.com",/Apparel,,Tel Aviv-Yafo,Tel Aviv District,IL,"Welcome to Mother-of-All, Inspired by the iconic Eve, our collections are crafted for the sexy, confident woman who dares to stand out. Shop our designer corsets, dresses, party wear, gowns and more.",,74006,7.3,783,,"Amp: Back in Stock & PreOrder+, Geolocation Redirects Geo:Pro, BOGOS: Free Gift Bundle Upsell, GOAFFPRO ‑ Affiliate Marketing, Instafeed ‑ Instagram Feed","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, GoAffPro",,,wix (2021),,"Shopify Online Store 2.0, New Shopify Checkout (2022), Contact Page, Tracking or Returns, Returns Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,golantaubmother-ofall.com
aminach.co.il,www.aminach.co.il,www.aminach.co.il,"https://www.tiktok.com/@aminach_il0, crm@aminach.co.il",/Home & Garden/Bed & Bath,,,,IL,"מגוון רחב של מיטות, מזרנים וספות מבית עמינח - יצרן ומשווק מוביל של מיטות ומזרנים בישראל מאז 1949. אחריות מלאה, יעוץ מקצועי. הזמינו עכשיו ותהנו ממשלוח חינם!",,154332,8.1,216,15,"Customily Product Personalizer, EG Auto Add to Cart Free Gift, PreOrder Globo | Back in Stock, Globo Product Options, Variant","Arrive, Cloudflare, Cloudflare CDN, Customily, Facebook Pixel",,,woocommerce (2026),,"Shopify Online Store 2.0, New Shopify Checkout (2022), Contact Page, Has Blog",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"ronenbar shalomaminach.co.il,ozsalomonaminach.co.il,dalitweintraubaminach.co.il"
falastinibrand.com,Falastini Brand,Falastini Brand,info@falastinibrand.com,/Apparel,,Jerusalem,Jerusalem District,IL,"A collection of original high quality Palestinian products for online buyers. Range from fashionable carefully designed and made embroidered clothes, handmade arts and accessories to home made customized gifts. We provide worldwide shipping to all countries",,110916,8.4,393,134,"AdRoll Marketing & Advertising, AfterShip Order Tracking, Infinite Product Options, Fera Product Reviews App, geolizr","Aftership, Arrive, Cloudflare, Cloudflare CDN, Fera",,,,X 138 / PIN 11k,"Shopify Online Store 2.0, Has iOS App, Has Android App, International Shipping, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
green-bonsai.com,Green Bonsai,Green Bonsai,support@green-bonsai.com,/Home & Garden/Gardening & Landscaping,,,,IL,"Green Bonsai provides you with hundreds of Bonsai Trees for sale. Visit our store to find many types of Bonsai plants, Bonsai pots, Bonsai accessories, and more.",,143571,5.9,379,43,"Google Ads Pixel by Nabu, Currency Converter Bear, SEOWILL ‑ 404 Link Redirect, BUCKS Currency Converter PRO++, Candy Rack • All‑in‑One Upsell","Afterpay, Apple Pay, Arrive, Bing Ads, Cloudflare",,,,PIN 16,"Shopify Online Store 2.0, International Shipping, New Shopify Checkout (2022), Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
tres.co.il,TR,TR,info@tres.co.il,,,Tel Aviv-Yafo,Tel Aviv District,IL,"TR גאה להוביל את שוק האודיו, וידאו ובית חכם בישראל. חברתנו מספקת מגוון רחב של מוצרים בתחום משנת 1986. למידע על מבחר המוצרים האיכותיים שלנו, בקרו באתר.",,142677,9.6,467,,"Acerill Form Builder, Product Reviews, S: Store Locator, POWr, SeedGrow WhatsApp Chat","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense",,,,,"Store Locator Page, New Shopify Checkout (2022), Accepts Gift Cards, Tracking or Returns, Tracking Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,yehoshuatres.co.il
max-brenner.co.il,Max Brenner Israel,Max Brenner Israel,"office@maxbrenner.co.il, sales@maxbrenner.co.il",/Food & Drink/Food/Candy & Sweets | /Gifts & Special Events,14,Petah Tikva,Center District,IL,משלוח שוקולד במגוון טעמים ומתנות לכל אירוע – עד הבית ובפריסה ארצית. הזמנת שוקולד באינטרנט עד הבית מעולם לא הייתה נוחה יותר. היכנסו כעת,Shopify Plus,236499,5.9,134,77,"Adoric Bundles Volume discount, Adoric Popup & Email Popups, Avada AI SEO Image Optimizer, Ctx: WhatsApp Chat + Marketing, Qikify Contact Form Builder","Arrive, Cloudflare, Cloudflare CDN, Criteo, Flashy",,,,PIN 1.7k / YT 108,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
marom-dolphin.com,Marom,Marom,"https://www.youtube.com/@maromdolphinbeyondlimits1268, cs@marom-dolphin.com",/Apparel,,Afula,North District,IL,Professional tactical gear.,,121924,7.9,95,4,"CodeInspire Accessibility Tool, Hulk Contact Form Builder, TinyCookie: GDPR Cookies Bar, Consentmo GDPR Compliance, PageFly Landing Page Builder","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,,,"Contact Page, Shopify Online Store 2.0, New Shopify Checkout (2022), International Shipping, Signature Required",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"raphaelbernsteinmarom-dolphin.com,zachydaganmarom-dolphin.com,sagimarom-dolphin.com"
ahavaktana.co.il,ahavaktana.co.il,ahavaktana.co.il,customerservice@ahavaktana.co.il,/Gifts & Special Events,,Bnei Brak,Tel Aviv District,IL,היכנסו לאתר אהבה קטנה | מאות רעיונות למתנות מקוריות,Shopify Plus,139871,15.8,2157,19,"AdScale AI Ads Meta/Google Ads, Assortion: Upsell & Bundles, Attribuly: Klaviyo Recovery, Avada GDPR Cookies Consent, Amp: Back in Stock & PreOrder+","Arrive, Cloudflare, Cloudflare CDN, Emarsys, Facebook Pixel",,,,,"Shopify New Customer Accounts, Shopify Online Store 2.0, Gift Messaging, Product Page Video Tag, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,tamarlabinahavaktana.co.il
michalnegrin.com,michalnegrin.com,michalnegrin.com,"info@michalnegrin.co.il, cs@michalnegrin.com, cs@michalnegrin.co.il",/Apparel/Clothing Accessories,,Tel Aviv-Yafo,Tel Aviv District,IL,"Discover romantic jewelry, statement accessories, shawls, and gifts from Michal Negrin. Shop the fantasy world of color, detail, and timeless design with international checkout.",,127290,9.6,822,1,"AdScale AI Ads Meta/Google Ads, Open SignIn ‑ Social Login, Product Reviews, Zakeke ‑ Customizer 2D & 3D","Arrive, Cloudflare, Cloudflare CDN, Forter, Global-e",,,woocommerce (2023),,"New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns, Tracking Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,raymondwelbermichalnegrin.com
b-unique.co.il,b-unique.co.il,b-unique.co.il,"info@bunique.co.il, https://www.tiktok.com/@b.uniquedesign",/Apparel/Footwear,15,Azor,Center District,IL,"בבי יוניק תמצאי מגוון נעלי נשים נוחות ואופנתיות – כפכפים, סנדלים, נעלי עקב, נעלי בובה, מוקסינים, מגפיים, תיקים ואקססוריז. איכות, נוחות וסטייל בכל צעד.",Shopify Plus,208007,9.0,631,221,"Amp: Back in Stock & PreOrder+, BOOSTER AI SEO + AEO OPTIMIZER, SEOWILL ‑ 404 Link Redirect, Checkout Buddy, BOGOS: Free Gift Bundle Upsell","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,,"Returns Page, Shopify Online Store 2.0, Free Returns, Product Page Video Tag, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
elinagleizer.com,ELINA GLEIZER,ELINA GLEIZER,info@elinagleizer.com,/Apparel/Clothing Accessories,,Ramat Gan,Tel Aviv District,IL,"Avant-Garde Jewelry & Accessories Brand. Minimal, Unisex, Unique & Functional, Handmade Jewelry. Inspired by geometry, abstract art & organic structures.",,103711,8.7,296,,"Ilana's JSON‑LD for SEO (TM), Klaviyo: Email Marketing & SMS, Loox ‑ Product Reviews App, Microsoft Clarity: AI Insights, Product Reviews","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense",3.6,24,,,"FAQ Page, Shopify Online Store 2.0, Product Page Video Tag, International Shipping, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,elinagleizerelinagleizer.com
bngguitars.com,B&G Guitars,B&G Guitars,"info@bngguitars.com, https://www.youtube.com/@bghandmadeguitars, contact@bngguitars.com",/Arts & Entertainment/Music & Audio/Music Equipment & Technology,,Tel Aviv-Yafo,Tel Aviv District,IL,"B&G guitars sell electric, acoustic and bass guitars made by master luthiers at our workshop in Tel-Aviv, Israel. Your quest for tone is over.",,93638,5.6,164,42,"Infinite Product Options, Revoq ‑ EU Withdrawal Button, Shopify Inbox, Instafeed ‑ Instagram Feed, Klaviyo: Email Marketing & SMS","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,,,"Shopify Online Store 2.0, International Shipping, New Shopify Checkout (2022), Accepts Gift Cards, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
spiru-life.co.il,spiru-life.co.il,spiru-life.co.il,"info@spiru-life.co.il, info@spirulina.co.il, https://www.tiktok.com/@spirulife.il",/Health/Nutrition/Vitamins & Supplements,,Migdal HaEmek,Northern District,IL,מוצרים טבעיים עוצמתיים לטיפוח שגרתי וטיפול בבעיות בריאות רבות! שפע ייחודי של מוצרים טבעיים מעולים מבית ספירולייף (ספירולינה) לתוצאות מדהימות שמרגישים ורואים,Shopify Plus,147179,2.3,468,270,"Analyzify (GA4 & Ads Tracking), Preorder, Back in stock Duck, Discount Ninja Promo Engine, GLO Color Swatch Variant Image, GroPulse GTM & Data Layer","Arrive, Bing Ads, Cloudflare, Cloudflare CDN, Cookiebot",,,,,"Shopify New Customer Accounts, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
gdt-implants.com,gdt-implants.com,gdt-implants.com,info@gdt-implants.com,/Health/Oral & Dental Care,,Be'er Sheva,South District,IL,GDT Implants has been a leading provider and manufacturer of innovative dental solutions and premium materials in dentistry and Implantology. Providing dentists worldwide with the latest dental implants technology that has enabled thousands of patients to restore their perfect smiles with ease and comfort.,,68558,5.4,663,183,"17TRACK Order Tracking, Accessibly, AdScale AI Ads Meta/Google Ads, BUCKS Currency Converter PRO++, Shopacado ‑ Volume Discounts","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense",4.0,7,,,"Shopify Online Store 2.0, Has iOS App, Has Android App, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
rebeka-jewelry.com,Rebekajewelry,Rebekajewelry,rebeka.jewelry@gmail.com,/Apparel/Clothing Accessories,,Holon,Center District,IL,Handmade Modern and Vintage Jewelry.,,390462,9.6,5107,24,"AfterShip Order Tracking, Avada AI SEO Image Optimizer, Shopify Inbox, Instafeed ‑ Instagram Feed, Judge.me Product Reviews App","Aftership, Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel",,,,X 7 / PIN 682,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
ronitfurst.com,ronitfurst.com,ronitfurst.com,"info@ronitfurst.com, _info@ronitfurst.com",/Apparel/Eyewear | /Health/Vision Care/Eyeglasses & Contacts,,Kiryat Ono,Tel Aviv District,IL,Each one of our frames is hand painted. This is what gives us the freedom to produce almost every pattern and color combination that we (or rather Ronit) can imagine.,,75445,9.6,2491,82,"Accessibly, AdScale AI Ads Meta/Google Ads, UpPromote Affiliate Marketing, Infinite Product Options, Beast Currency Converter","Arrive, Cloudflare, Cloudflare CDN, Flashy, Google Ads Pixel",,,opencart (2021),,"FAQ Page, Store Locator Page, Shopify Online Store 2.0, Cryptocurrency Messaging, International Shipping",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,bibringronitfurst.com
ronenchen.co.il,Ronen Chen Online,Ronen Chen Online,"info@ronenchen.com, ronenchen@ronenchen.com",/Apparel,9,Tel Aviv-Yafo,Tel Aviv District,IL,"אתר האונליין הרשמי של מעצב האופנה הישראלי רונן חן .באתר תמצאי אופנה רלוונטית ועל-זמנית לנשים, בעיצוב נקי ומינימליסטי. משלוח חינם בכל קניה",,122942,9.6,541,147,"Geolocation, Product Labels & Badges—Lably, ReturnGO Returns & Exchanges, Shopify Forms, Upsell & Cross Sell — Selleasy","Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense, Microsoft 365",,,,,"Sizing Page, Shopify Online Store 2.0, Free Returns, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
baby-star.co.il,Baby Stars,Baby Stars,"web@baby-star.co.il, https://www.tiktok.com/@babystar_israel",/Home & Garden/Nursery & Playroom | /People & Society/Family & Relationships/Family,15,Petah Tikva,Center District,IL,"מותגים גדולים במחירים קטנים — מגוון מוצרי תינוקות בסניפי הרשת ובאתר של בייבי סטאר! מחירים שוברי שוק ואספקה מיידית. בין המוצרים: עגלות, טיולונים, ריהוט חדרי תינוקות וילדים ועוד.",,294203,8.4,2268,,"AOV Free Gift BOGO Buy X Get Y, Bundler ‑ Product Bundles App, Hextom: Countdown Timer Bar, im•api (infinite‑scroll), Instafeed ‑ Instagram Feed","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,custom (2025),TT 5.9k,"Warranty Page, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"davidovicibaby-star.co.il,shoffir-burmanbaby-star.co.il,valerinemanovbaby-star.co.il,yosiebaby-star.co.il,guysigurababy-star.co.il"
sillyshiny.com,sillyshiny.com,sillyshiny.com,"https://www.tiktok.com/@sillyshinydiamonds, info@sillyshiny.com",/Apparel/Clothing Accessories,1,Herzliya,Tel Aviv District,IL,Exceptional Fine Jewelry and Engagement Rings Since 2010,,351043,7.9,878,63,"AdScale AI Ads Meta/Google Ads, Nova: Multi Currency Converter, Ctx: WhatsApp Chat + Marketing, Monk Free Gift+Checkout Upsell, Zepto Product Personalizer","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,PIN 24k / TT 1.4k,"FAQ Page, Returns Page, Shopify Online Store 2.0, International Shipping, Product Page Video Tag",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,shaniezaksillyshiny.com
agalease-baby.co.il,www.agalease-baby.co.il,www.agalease-baby.co.il,online_service@agalease.co.il,/Home & Garden/Nursery & Playroom | /People & Society/Family & Relationships/Family,,,,IL,"הרשת המובילה למוצרי תינוקות, עגלות לתינוקות, חבילות לידה, מושבי בטיחות, ריהוט ומשחקים",Shopify Plus,205777,9.6,4183,,,"Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,woocommerce (2026),,"Product Page Video Tag, New Shopify Checkout (2022), Contact Page, Brands Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,tomben shushanagalease-baby.co.il
sivanlotan-jewelry.com,Sivan Lotan Jewelry,Sivan Lotan Jewelry,"contact@sivanlotan-jewelry.com, contact@sivanlotanjewelry.com, service@sivanlotanjewelry.com",/Apparel/Clothing Accessories | /People & Society,,Ramat Gan,Tel Aviv District,IL,"Handcrafted fine jewelry made in solid gold - Engagement rings, heirloom pieces, and meaningful Heritage jewelry. Designed and made by Sivan Lotan, where every piece begins with a story.",,246192,5.8,389,15,"ADA Accessibility Widget by AP, AdScale AI Ads Meta/Google Ads, Beast Currency Converter, DROP A HINT Premium, Drop Hint 2.0 SMS Email Postal","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,,"Contact Page, FAQ Page, Sizing Page, Shopify Online Store 2.0, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
gadgetshop.co.il,www.gadgetshop.co.il,www.gadgetshop.co.il,"service@gadgetshop.co.il, https://www.youtube.com/@gadgetshop-israel, https://www.tiktok.com/@gadgetshop.co.il",/Gifts & Special Events,,Bnei Brak,Tel Aviv District,IL,"גאדג׳טשופ - יבוא ושיווק מתנות, צעצועים וגאדג׳טים ייחודיים. החברה הוותיקה בישראל מאז 1997. בקרו באתר והזמינו משלוח אונליין.",,141998,9.6,1848,52,"AdScale AI Ads Meta/Google Ads, Amp: Back in Stock & PreOrder+, FUGU ‑ Every Payment Counts, Mighty Image Uploader, Users Insights & Social Login","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,custom (2021),TT 3.5k,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,doronhofmangadgetshop.co.il
twentysix26.com,TwentySix,TwentySix,"info@twentysix26.com, https://www.tiktok.com/@twenty_six26",,,Rishon LeTsiyon,Center District,IL,TwentySix חנות בגדים אונליין - רשת בגדי אופנה לנשים המובילה בישראל. כאן תוכלי לרכוש פריטים הורסים במחירים מעולים! חנות בגדים לצעירות שמבינות אופנה!,Shopify Plus,329243,7.2,707,234,"Preorder, Back In Stock ‑ STOQ, Shopify Checkout Blocks, RT: Google Fonts, Custom Fonts, Instafeed ‑ Instagram Feed, Loox ‑ Product Reviews App","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,TT 22k,"Returns Page, Shopify Online Store 2.0, Free Returns, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
energym.co.il,energym.co.il,energym.co.il,"contact@bashgal.co.il, contact@energym.co.il",/Beauty & Fitness/Fitness,36,Herzliya,Tel Aviv District,IL,ציוד ספורט וציוד כושר איכותי במגוון ענק ובמחירים מצויינים. חנות ספורט שמאפשרת לכם רכישת מוצרי ספורט אונליין בקלות ובנוחות! הכנסו עכשיו! >>,Shopify Plus,103238,5.0,1869,8,"Avada GDPR Cookies Consent, Amp: Back in Stock & PreOrder+, Kaching Bundles App & Upsells, XCloud Search & Product Filter, Shopacado ‑ Volume Discounts","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,,,"Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards, Brands Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
