Domain,query_name,segment,Name,company_clean,icp_fit,industry_groups,business_model,Score,similarity,revenue_range,employees,start_date,City,State,Country,phones,public_emails,description,batch_id,emails_ok_count,emails_catchall_count,contacts_with_ok,reachable_status,public_emails_clean,ingested_at,Final Email,MV,BB,Status
ancientmovers.ca,General Moving Companies in US / CA,has_public,Ancient Movers,Ancient Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.88, B2C:0.96",91,,1-10M,1-10,2021-05-22,Windsor,NS,CA,+12269357146,support@ancientmovers.ca,"Ancient Movers is a moving service based in Windsor-Essex that offers a range of relocation solutions for both residential and commercial moves. Their main services include piano moving, senior moving, pool table moving, and hot tub relocations. They provide free estimates, customized moving plans, and 24/7 emergency services to ensure a smooth transition. The company operates a fleet of 26′ trucks equipped with specialized tools for efficient packing and assembly.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,support@ancientmovers.ca,2026-05-29,support@ancientmovers.ca,catch_all,deliverable,done
forwardvanlines.com,General Moving Companies in US / CA,has_public,Forward Van Lines,Forward Van Lines,yes,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.97",215,,1-10M,11-50,2015-06-15,Fort Lauderdale,FL,US,"+15618910456, +14045828877, +18556631232, +18557367927, +18557672927, +18559613240, +19546784757",info@forwardvanlines.com,"G.K. Computer Education is an educational institution that offers vocational training and career programs in various IT fields. The main purpose of the institute is to enhance employability through short-term courses, government-sponsored initiatives, and partnerships with companies. Key features include a wide range of computer courses, job placement services, and a focus on practical skills development for students. The institute has trained over 25,000 candidates and collaborates with multipl",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@forwardvanlines.com,2026-05-29,info@forwardvanlines.com,catch_all,deliverable,done
getdonemove.com,General Moving Companies in US / CA,has_public,Get Done Moving,Get Done Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.97",104,,1-10M,11-50,2017-09-29,Altamonte Springs,FL,US,"+14073053716, +14075347628",info@getdonemove.com,"Get Done Moving is a local moving and storage company based in Altamonte Springs, FL. They offer personalized moving services for both residential and commercial clients, including packing, unpacking, and transportation. The company utilizes advanced technology to ensure efficient transport and provides containerized storage solutions tailored to customer needs. Their team focuses on delivering a smooth relocation experience with a commitment to customer satisfaction and timely project completio",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@getdonemove.com,2026-05-29,info@getdonemove.com,catch_all,deliverable,done
3litetransport.ca,General Moving Companies in US / CA,has_public,3Lite Transport,3Lite Transport,yes,CONSUMER_SERVICES:0.97,"B2B:0.94, B2C:0.96",53,,<1M,1-10,2024-07-17,Abbotsford,BC,CA,"+16043000550, +6043000550",brettmacnab@3litetransport.ca,"3Lite Transport is a local moving company in British Columbia that offers a range of moving services for both residential and commercial clients. Their main functionalities include long-distance moving, emergency moving, last-mile delivery, and the use of specialized equipment like stair climbers to assist with heavy lifting. The company emphasizes transparent pricing, trained movers, and customer support throughout the move process, ensuring a stress-free experience for customers while managing",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,brettmacnab@3litetransport.ca,2026-05-29,brettmacnab@3litetransport.ca,catch_all,deliverable,done
moveintuitoc.com,General Moving Companies in US / CA,has_public,Move Intuit OC,Move Intuit OC,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.94",69,,1-10M,1-10,2021-10-05,Costa Mesa,CA,US,+19494021940,info@moveintuitoc.com,"Move Intuit is a moving company that provides residential and business moving services in Orange County, California. Their main functionality includes packing, loading, unloading, and storage solutions tailored to meet the specific needs of clients. Key features include a personalized moving process, professional packing materials, and a commitment to customer satisfaction with transparent pricing and reliable service. They also offer an online platform for managing moves and provide free estima",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@moveintuitoc.com,2026-05-29,info@moveintuitoc.com,catch_all,deliverable,done
dandoingright.com,General Moving Companies in US / CA,has_public,Dan Doing Right Movers,Dan Doing Right Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.99",30,,<1M,11-50,2024-09-02,Miami,FL,US,+17542191818,i@dandoingright.com,"Dan Doing Right Movers is a professional moving service based in South Florida, offering local and long-distance moves. Customers can obtain an instant quote for their move type, choose between two movers or four others, and schedule the move on a date that suits them. Key features include a background-checked crew, no hidden fees, furniture assembly included, and a guarantee of timely arrival. The company also provides nationwide coverage and volume-based pricing to accommodate various relocati",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,i@dandoingright.com,2026-05-29,i@dandoingright.com,catch_all,deliverable,done
lubbockmovingco.com,General Moving Companies in US / CA,has_public,Lubbock Moving Company,Lubbock Moving Company,yes,CONSUMER_SERVICES:1.0,"B2B:0.92, B2C:0.91",62,,1-10M,1-10,2022-09-14,Lubbock,TX,US,"+18065550100, +18063007394, +18067596858, +18068558427, +18883684689",info@lubbockmovingco.com,"Lubbock Moving Company is a full-service moving company based in Lubbock, Texas, offering residential and commercial moving services. Their main functionalities include packing, long-distance moving, and specialized moving for apartments and offices across the U.S., as well as providing packing services and emergency assistance. The company emphasizes customer satisfaction through trained movers, competitive pricing, and safety measures, ensuring a smooth relocation experience for clients. They",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@lubbockmovingco.com,2026-05-29,info@lubbockmovingco.com,catch_all,deliverable,done
fischervanlines.com,General Moving Companies in US / CA,has_public,Fischer Van Lines,Fischer Van Lines,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.95",152,,1-10M,11-50,2018-04-26,Denver,CO,US,+17202979904,jfischer@fischervanlines.com,"Fischer Van Lines is a moving company based in Denver, Colorado, offering a range of services for both residential and commercial moves. They provide packing, storage, and moving assistance for items like furniture, antiques, and heavy equipment, ensuring safety and precision throughout the move process. Key features include specialized services for antique and fine furniture, long-distance relocations, staging, and international moving options, along with personalized consultations to help clie",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,jfischer@fischervanlines.com,2026-05-29,jfischer@fischervanlines.com,catch_all,deliverable,done
wondermove.com,General Moving Companies in US / CA,has_public,Wondermove,Wondermove,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.92",100,,1-10M,1-10,2023-03-01,Royal Oak,MI,US,"+12486077244, +17345455617",info@wondermove.com,"The website offers a range of services and products focused on financial management, particularly for companies like Toyota Motor Group, which is involved in various sectors such as automotive, aerospace, energy, and healthcare. It provides information on their offerings, including product launches, sales strategies, and customer support services. The site also features updates on new products, events, and partnerships with technology providers to enhance operational efficiency and profitability",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@wondermove.com,2026-05-29,info@wondermove.com,catch_all,deliverable,done
peoplemoverscalifornia.com,General Moving Companies in US / CA,has_public,People Movers,People Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.89, B2C:0.88",122,,1-10M,1-10,2022-03-15,Sacramento,CA,US,"+16502572327, +17727425246, +18005784268, +19162264466",office@peoplemoverscalifornia.com,"People Movers is a full-service moving company in California that offers local and long-distance moving services for residential, commercial, and corporate moves. They provide free estimates, transparent pricing with no hidden fees, and a commitment to safety through the use of industry-grade packing materials and protective wrapping. Their services include 24/7 GPS tracking, specialized moving assistance for houses, apartments, and townhomes, as well as options for storage and express delivery.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,office@peoplemoverscalifornia.com,2026-05-29,office@peoplemoverscalifornia.com,catch_all,deliverable,done
apollomovingcompany.com,General Moving Companies in US / CA,has_public,Apollo Moving Company,Apollo Moving Company,yes,CONSUMER_SERVICES:1.0,"B2B:0.79, B2C:0.85",29,,1-10M,1-10,2022-10-25,Los Angeles,CA,US,+18443276556,info@apollomovingcompany.com,"Austin Peay State University offers online career training programs approved for the US Army and Army Credentialing Assistance. These programs are designed to be accessible and self-paced, allowing students to complete their courses within 4 to 6 months. Key features include national certification exams, optional externships, live labs, and personalized support from curriculum advisors to help students find suitable educational options based on their needs. The university also provides resources",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@apollomovingcompany.com,2026-05-29,info@apollomovingcompany.com,catch_all,deliverable,done
musclemenmoversllc.com,General Moving Companies in US / CA,has_public,Muscle Men Movers LLC,Muscle Men Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.96",81,,1-10M,1-10,2020-06-04,Temple Hills,MD,US,"+12406182995, +13019961091",info@musclemenmoversllc.com,"Muscle Men Movers LLC is a moving company that offers a variety of services for residential and commercial moves in the Washington DC, Maryland, Virginia, and surrounding areas. Their main functionalities include apartment moving, commercial moving, home moving, office moving, packing, furniture assembly, and specialized moving for medical equipment and other items. The company emphasizes safety, professionalism, and personalized service to ensure successful move-related tasks. They also provide",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@musclemenmoversllc.com,2026-05-29,info@musclemenmoversllc.com,catch_all,deliverable,done
gpmove.ca,General Moving Companies in US / CA,has_public,G&P Move,G&P Move,yes,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.94",169,,1-10M,11-50,2020-07-26,Vaudreuil-Dorion,QC,CA,"+14383216517, +15144581672",info@gpmove.ca,"G&P Move is a professional moving company based in Montreal that offers residential and commercial moving services. Their main functionalities include packing, transporting, and maintaining belongings throughout the relocation process. Key features include personalized service from experienced movers, efficient logistics for long-distance journeys, and cargo insurance to ensure safety during transportation. G&P Moving also provides free estimates and emphasizes customer satisfaction with a dedic",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@gpmove.ca,2026-05-29,info@gpmove.ca,catch_all,deliverable,done
nextstopmoversnc.com,General Moving Companies in US / CA,has_public,Next Stop Movers LLC,Next Stop Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.94",83,,1-10M,1-10,2022-04-18,Raleigh,NC,US,"+16022722333, +19192498351",info@nextstopmoversnc.com,"Next Stop Movers is a moving company based in Raleigh, NC, specializing in local and long-distance relocation services. They offer a range of services including apartment relocations, commercial moving, furniture transport, and specialized packing for seniors and military personnel. The company emphasizes transparent pricing, easy scheduling, and customer support throughout the moving process, ensuring a smooth experience from start to finish. Next Stop Mo Moving is fully licensed and insured, p",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@nextstopmoversnc.com,2026-05-29,info@nextstopmoversnc.com,catch_all,deliverable,done
verityvanlines.com,General Moving Companies in US / CA,has_public,Verity Van Lines,Verity Van Lines,yes,CONSUMER_SERVICES:1.0,"B2B:0.92, B2C:0.95",185,,1-10M,1-10,2018-10-19,Seaford,NY,US,+15167857620,michael@verityvanlines.com,"Verity Van Lines is a moving company based on Long Island, offering a wide range of services for both residential and commercial moves. Their main functionalities include furniture removal, packing services, last-minute moves, and international moving options such as junk removal and fitness equipment relocation. They also provide secure storage solutions that allow customers to store items until they are ready for shipment. The company emphasizes customer satisfaction and has over 100 years of",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,michael@verityvanlines.com,2026-05-29,michael@verityvanlines.com,catch_all,deliverable,done
arizonamovingspecialist.com,General Moving Companies in US / CA,has_public,Arizona Moving Specialist,Arizona Moving Specialist,yes,CONSUMER_SERVICES:0.96,"B2B:0.98, B2C:0.92",160,,1-10M,1-10,2017-08-13,Phoenix,AZ,US,"+16024818979, +16026688806",info@arizonamovingspecialist.com,"Arizona Moving Specialist is a licensed, bonded, and insured moving company that offers a range of services for both residential and commercial moves. Their main functionality includes heavy lifting, packing, unpacking, and securing belongings during the move. They also provide specialized services for real estate professionals and assist with inventory relocation for businesses. The team consists of experienced professionals who focus on customer satisfaction throughout the moving process.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@arizonamovingspecialist.com,2026-05-29,info@arizonamovingspecialist.com,catch_all,deliverable,done
texasdeltamoving.com,General Moving Companies in US / CA,has_public,Texas Delta Moving,Texas Delta Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.94, B2C:0.97",33,,1-10M,1-10,2024-06-04,Mckinney,TX,US,"+19452363616, +19452373616",info@texasdeltamoving.com,"Texas Delta Moving is a family-owned moving company that offers local, long-distance, and commercial moving services across Texas. Their main functionality includes packing, unpacking, and junk removal for apartments and senior living properties, as well as specialized moves like long- distance apartment relocations and SecureMoveGuard secure transport. The company provides personalized service, including free estimates and a simple move planning process to ensure a smooth transition for clients",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@texasdeltamoving.com,2026-05-29,info@texasdeltamoving.com,catch_all,deliverable,done
movinandremov.com,General Moving Companies in US / CA,has_public,Movin And Removin,Movin And Removin,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.98",35,,1-10M,1-10,2024-05-09,Scottsdale,AZ,US,+16028348615,info@movinandremov.com,"Movin' and Remov is a full-service moving company based in Scottsdale, Arizona. They offer various relocation services including local moves, long-distance moves, commercial move assistance, and junk removal. The company emphasizes customer satisfaction through clear communication and provides damage protection guarantees, ensuring that all moves are safe and efficient. With over four years of experience, they prioritize personalized service and transparent pricing without hidden fees.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@movinandremov.com,2026-05-29,info@movinandremov.com,catch_all,deliverable,done
movingmv.com,General Moving Companies in US / CA,has_public,MV Moving & Storage Company LLC,MV Moving & Storage Company,yes,CONSUMER_SERVICES:0.97,"B2B:1.0, B2C:0.95",71,,1-10M,1-10,2021-06-20,Sherman Oaks,CA,US,+17472398797,info@movingmv.com,"MV Moving & Storage is a moving company that offers residential and commercial relocation services. Their main functionalities include local movers, furniture transportation, packing, and door-to-door moving solutions. They provide specialized services for multi-story properties, handle heavy lifting, and ensure safe storage of belongings. The company also offers free consultations and 24/7 customer support to simplify the moving process.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@movingmv.com,2026-05-29,info@movingmv.com,catch_all,deliverable,done
neonmovers.com,General Moving Companies in US / CA,has_public,Neon Movers,Neon Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.91",28,,1-10M,11-50,2024-12-07,Madison,WI,US,+12627203652,info@neonmovers.com,"Neon Movers is a moving company based in Wisconsin that offers residential and commercial moving services. Their main functionality includes providing safe and efficient move-in, packing and unpacking services, and essential moving equipment such as furniture assembly and protective supplies. They also offer free estimates, a moving day checklist, and daily customer support to assist with inquiries and assistance throughout the moving process.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@neonmovers.com,2026-05-29,info@neonmovers.com,catch_all,deliverable,done
portlandmoversready.com,General Moving Companies in US / CA,has_public,Portland Movers Ready,Portland Movers Ready,yes,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.93",56,,1-10M,1-10,2018-01-12,Portland,OR,US,+15039536537,admin@portlandmoversready.com,"Portland Movers Ready is a moving company that offers residential and commercial moving services in Portland, Oregon. Their main functionalities include providing moving labor, hot tub moves, piano moving, junk removal, vehicle transport, and gun safe moving. They also offer same-day service for long-distance moves and provide packing assistance and moving supplies to ensure a smooth moving experience for customers across the city of Portland and surrounding areas.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,admin@portlandmoversready.com,2026-05-29,admin@portlandmoversready.com,catch_all,deliverable,done
progressid.com,General Moving Companies in US / CA,has_public,Progress LLC,Progress,partial,CONSUMER_SERVICES:1.0,"B2B:0.54, B2C:0.88",112,,<1M,1-10,2021-05-12,Boise,ID,US,"+12088703340, +12089943168",info@progressid.com,"Progress LLC offers professional organizing services in Boise and surrounding areas, focusing on decluttering, downsizing, office organization, garage organizing, and storage solutions. The company provides tailored organizational systems for homes and offices, helping clients manage their belongings efficiently while minimizing costs and maximizing space. Key features include a free discovery call to discuss project goals, assistance with moving processes, and specialized help for seniors who n",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@progressid.com,2026-05-29,info@progressid.com,catch_all,deliverable,done
noplacelikehomeconcierge.ca,General Moving Companies in US / CA,has_public,No Place Like Home Seniors' Concierge,Noplacelikehomeconcierge,partial,CONSUMER_SERVICES:1.0,B2C:0.97,121,,1-10M,1-10,2020-12-16,Mississauga,ON,CA,+14167317448,"info@noplacelikehomeconcierge.ca, info@nplhconcierge.ca","No Place Like Home is a service that provides at-home concierge support and downsizing services for seniors and individuals. Their main functionalities include assisting with home management, moving logistics, packing and disposing of belongings, and organizing estate items. They offer companionship, transportation assistance, and personalized support to help clients maintain their independence in their homes. The service aims to simplify the process of downsizeing and moving for both individual",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@noplacelikehomeconcierge.ca,2026-05-29,info@noplacelikehomeconcierge.ca,catch_all,deliverable,done
rightsizedliving.net,General Moving Companies in US / CA,has_public,RightSized Living Inc.,RightSized Living,yes,CONSUMER_SERVICES:1.0,"B2B:0.92, B2C:0.86",49,,1-10M,1-10,2023-03-16,Worcester,MA,US,+17747647725,info@rightsizedliving.net,"RightSized Living Inc. offers moving, organizing, downsizing, and relocation services specifically for older adults, families, and businesses. The company provides a single point of contact throughout the relocation process, ensuring personalized support tailored to each client's needs. Key features include certified movers, assistance with furniture donation, and a focus on creating a comfortable and stress-free environment during the move.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@rightsizedliving.net,2026-05-29,info@rightsizedliving.net,catch_all,deliverable,done
eastcoastbostonmovers.com,General Moving Companies in US / CA,has_public,East Coast Boston Movers,East Coast Boston Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.88",74,,1-10M,1-10,2021-02-25,Boston,MA,US,"+16177166501, +19786316121",info@eastcoastbostonmovers.com,"East Coast Boston Movers is a moving company based in Boston, MA, specializing in residential, commercial, and long-distance relocations. They offer a range of services including partial packing, full packing, climate-controlled storage, and specialized moves like piano Moving and white glove moving. The team is trained to handle all aspects of the move, ensuring smooth transitions and efficient logistics through advanced tools and technology. They also provide free evaluations and furniture tra",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@eastcoastbostonmovers.com,2026-05-29,info@eastcoastbostonmovers.com,catch_all,deliverable,done
packandgomoversny.com,General Moving Companies in US / CA,has_public,Pack & Go Movers,Pack & Go Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.98",95,,1-10M,11-50,2020-02-14,Yonkers,NY,US,"+19147707678, +19148190999","sales@packandgomoversny.com, info@packandgomoverscorp.com","Pack & Go Movers is a moving company based in Westchester, NY, offering residential and commercial relocation services. Their main functionality includes providing professional movers for various moving needs such as furniture removal, packing, and storage solutions like eco-friendly Pack & Go Bins and bins. Customers can request free estimates, schedule move dates, and receive tailored moving assistance to create a seamless moving experience. The company emphasizes clear communication and custo",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,sales@packandgomoversny.com,2026-05-29,sales@packandgomoversny.com,catch_all,deliverable,done
helloyugo.com,General Moving Companies in US / CA,has_public,HelloYugo Inc.,HelloYugo,yes,CONSUMER_SERVICES:0.97,"B2B:0.96, B2C:0.78",95,,1-10M,11-50,2022-05-13,Toronto,ON,CA,+16473704525,info@helloyugo.com,"HelloYugo is a moving company based in Toronto that offers personalized relocation services for residential, office, and small moves. Their main functionality includes providing flat-rate pricing with no hidden fees, ensuring transparency about costs associated with the move. Key features include free packing and packaging of items, white glove services for sensitive belongings, and a commitment to customer satisfaction through dedicated support and transparent communication. They also offer sam",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@helloyugo.com,2026-05-29,info@helloyugo.com,catch_all,deliverable,done
mytucsonmovers.com,General Moving Companies in US / CA,has_public,My Tucson Movers,My Tucson Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.97",80,,1-10M,1-10,2020-12-21,Tucson,AZ,US,+15208226140,info@mytucsonmovers.com,"My Tucson Movers is a moving company that provides a variety of moving services for residential, commercial, and long-distance moves in Tucson, Arizona. Their main functionality includes local, long- distance, apartment, senior, student, and specialty moving, as well as packing and unpacking services. They offer tailored moving plans to meet individual customer needs, ensuring efficient coordination and safety throughout the move process. The company emphasizes transparent pricing, experienced m",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@mytucsonmovers.com,2026-05-29,info@mytucsonmovers.com,catch_all,deliverable,done
smartpricemoving.com,General Moving Companies in US / CA,has_public,Smart Price Moving and Logistics LLC,Smart Price Moving,yes,CONSUMER_SERVICES:0.99,"B2B:0.93, B2C:0.92",83,,1-10M,1-10,2016-11-09,Clifton,NJ,US,+18622534436,info@smartpricemoving.com,"Smart Price Moving is a moving company based in New Jersey that offers a range of services for both residential and commercial moves. Their main functionalities include apartment moving, college moving, long-distance moving, eviction moving, and specialized furniture storage. Key features include transparent pricing with fixed rates, background-checked staff, personalized moving packages, and assistance with packing, transportation, and insurance claims. They also provide free estimates and cons",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@smartpricemoving.com,2026-05-29,info@smartpricemoving.com,catch_all,deliverable,done
moverswithmanners.com,General Moving Companies in US / CA,has_public,Master Movers,Master Movers,yes,CONSUMER_SERVICES:0.98,"B2B:0.99, B2C:0.95",225,,1-10M,1-10,2020-06-15,Venice,FL,US,+19414519904,mastermovers@moverswithmanners.com,"Master Movers is a moving company based in Florida that offers a range of services including local, long-distance, commercial, and specialized moves. Their main functionality includes packing, unpacking, storage, and custom furniture transport for both individuals and businesses. Key features include 24/7 security monitoring, a fleet of well-maintained moving trucks, and customizable moving solutions tailored to customer needs. The company has over 11 years of combined experience and serves vari",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,mastermovers@moverswithmanners.com,2026-05-29,mastermovers@moverswithmanners.com,catch_all,deliverable,done
callspeedy.com,General Moving Companies in US / CA,has_public,Speedy Movers,Speedy Movers,yes,CONSUMER_SERVICES:1.0,"B2B:1.0, B2C:0.96",108,,1-10M,11-50,2019-05-01,Richland,WA,US,"+12069408099, +15094949202, +15095312800, +15095811333",info@callspeedy.com,"Speedy Movers is a local moving company that offers a range of services including home moves, business moves, and storage solutions. They provide both full-service moving options, such as packing and unpacking, as well as specialized storage solutions like FlexBox™ for flexible storage. The company emphasizes customer satisfaction and aims to deliver accurate quotes while ensuring efficient service throughout the moving process.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@callspeedy.com,2026-05-29,info@callspeedy.com,catch_all,deliverable,done
qshark-moving.com,General Moving Companies in US / CA,has_public,QShark Moving Company,QShark Moving Company,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.9",139,,1-10M,11-50,2017-09-01,Los Angeles,CA,US,"+18669255012, +12133763890, +13056803491, +15105448129, +15615322624, +16193771134, +18443942651, +18449697325, +19095701719, +19493342287",info@qshark-moving.com,"QShark Moving Company offers a range of professional moving services for both local and long-distance moves. Their main functionalities include local moving, long- distance relocation, furniture moving, packing services, and specialized piano moving. Key features include clear scheduling, organized loading, and transparent pricing with no hidden fees, as well as trained movers who prioritize careful handling and coordination before the move. Qshark also provides free estimates and ensures that a",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@qshark-moving.com,2026-05-29,info@qshark-moving.com,catch_all,deliverable,done
nmbc.llc,General Moving Companies in US / CA,has_public,N.M.B.C Moving Solutions,N.M.B.C Moving Solutions,yes,CONSUMER_SERVICES:1.0,"B2B:0.9, B2C:0.91",139,,1-10M,11-50,2022-05-04,Springfield,NJ,US,+15518660034,"moving@nmbc.llc, move@nimblemoving.com","N.M.B.C Moving Solutions is a moving company based in New Jersey that offers a variety of moving services for both residential and commercial clients. Their main functionalities include local, long-distance, piano moving, packing services, and junk removal, ensuring smooth relocation processes. Key features include a team of trained movers, free estimates, background checks for safety, and a commitment to customer satisfaction through various communication channels like phone, email, and social",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,moving@nmbc.llc,2026-05-29,moving@nmbc.llc,catch_all,deliverable,done
california-seattleexpress.com,General Moving Companies in US / CA,has_public,California-Seattle Express,California-Seattle Express,yes,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.94",214,,1-10M,1-10,2019-01-08,Seattle,WA,US,+12132778818,info@california-seattleexpress.com,"California-Seattle Express is a professional moving company that specializes in long-distance moves, particularly for California to the Pacific Northwest. They offer direct-to-door services with no truck transfers or hidden fees, ensuring a streamlined move process. Their services include residential relocation, corporate relocations, car shipping, packing, and storage solutions, catering to various moving needs from small families to large corporations. The company emphasizes flat rates, custom",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@california-seattleexpress.com,2026-05-29,info@california-seattleexpress.com,catch_all,deliverable,done
orangesquaremovers.com,General Moving Companies in US / CA,has_public,"Orange Square Movers, LLC",Orange Square Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.83, B2C:0.95",77,,1-10M,11-50,2021-03-15,Denver,CO,US,+17204399070,info@orangesquaremovers.com,"Orange Square Movers is a family-owned moving company based in Denver that specializes in long-distance moves. They offer services including packing, transportation, and setup for homes and businesses, ensuring careful planning and support throughout the move process. Customers can obtain free online estimates, schedule moving appointments, and receive assistance with furniture assembly and storage. The company emphasizes clear communication and customer satisfaction to create a stress-free movi",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@orangesquaremovers.com,2026-05-29,info@orangesquaremovers.com,catch_all,deliverable,done
hkmovers.ca,General Moving Companies in US / CA,has_public,HK Moving & Storage,HK Moving & Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.95",64,,1-10M,1-10,2018-07-23,Brampton,ON,CA,"+14165246704, +14372945487",info@hkmovers.ca,"HK Movers is a moving company based in Toronto that offers local and long-distance moving services for homes and businesses. Their main functionalities include packing, loading, and unloading of belongings, as well as specialized moves like junk removal and car shipping. The company emphasizes clear communication, customer satisfaction, and efficient service throughout the move process, ensuring timely delivery and personalized support for each client. They have multiple locations across the Gre",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,info@hkmovers.ca,2026-05-29,info@hkmovers.ca,catch_all,deliverable,done
ctmovingandstorage.com,General Moving Companies in US / CA,has_public,CT Moving & Storage,CT Moving & Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.98",322,,1-10M,11-50,2017-09-18,Southington,CT,US,+18606286373,aaron@ctmovingandstorage.com,"CT Moving & Storage is a moving and storage service based in Southington, Connecticut. They provide a range of services including local and long-distance moving, packing, unpacking, and climate-controlled storage solutions. The company emphasizes professional customer service, with over 1,900 reviews and damage-free guarantees, and offers same-day service for moves within specific counties. Customers can request free online quotes and receive assistance with all aspects of their moving process,",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,aaron@ctmovingandstorage.com,2026-05-29,aaron@ctmovingandstorage.com,catch_all,deliverable,done
keepmovingus.com,General Moving Companies in US / CA,has_public,Keep Moving INC.,Keep Moving,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.93",99,,1-10M,11-50,2019-02-20,Woodinville,WA,US,+18777557007,"info@keepmovingus.com, book@keepmovingus.com","Keep Moving is a moving company based in Seattle that offers local and long-distance relocation services for residential, commercial, and international moves across Washington and California. Their main functionality includes packing, transporting, staging, and custom packing solutions to ensure smooth transitions for clients. Key features include trained movers who prioritize customer care, efficient planning, and transparent pricing without hidden fees, as well as specialized services like jun",moveplnr-2026-05-29-companies-batch3000-1,0,2,0,catchall_only,"book@keepmovingus.com, info@keepmovingus.com",2026-05-29,book@keepmovingus.com,catch_all,deliverable,done
