domain,bot_bucket,chat_class,vendor,quotable_line
pigletspantry.co.uk,NO BOT,not-probed,,
pinchdesign.com,NO BOT,no-chat-widget,,
pingpod.com,NO BOT,not-probed,,
pinkboutique.co.uk,NO BOT,no-chat-widget,,
pinter.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
pipdecks.com,NO BOT,no-chat-widget,,
pithandstem.com,NO BOT,not-probed,,
plandstainless.co.uk,NO BOT,not-probed,,
planetorganic.com,NO BOT,no-chat-widget,,
planetx.co.uk,NO BOT,no-chat-widget,,
plankhardware.com,NO BOT,no-chat-widget,,
platohire.co.uk,NO BOT,not-probed,,
plutobooks.com,NO BOT,not-probed,,
podgypaws.co.uk,NO BOT,not-probed,,
poetrysociety.org.uk,NO BOT,not-probed,,
polejunkie.com,NO BOT,blocked-not-probed,,
pompomlondon.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
pongcheese.co.uk,NO BOT,no-chat-widget,,
pooky.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
popcornshed.com,NO BOT,no-chat-widget,,
poppyspicnic.co.uk,TEXT BOT,no-response-human-queue,Intercom,
portaromana.com,NO BOT,no-chat-widget,,
potterycrafts.co.uk,NO BOT,no-chat-widget,,
poundland.co.uk,NO BOT,no-chat-widget,,
poundstretcher.co.uk,NO BOT,no-chat-widget,,
ppss-group.com,NO BOT,not-probed,,
pracbrown.co.uk,NO BOT,not-probed,,
precision-ceramics.com,NO BOT,no-chat-widget,,
precision-devices.com,NO BOT,not-probed,,
premierequine.co.uk,NO BOT,no-chat-widget,,
premiumsound.co.uk,NO BOT,not-probed,,
press-london.com,NO BOT,other-reply,Freshchat,"Thank you! Have you placed an order with us, Guest? (Please select from the drop down menu)."
prettyyoulondon.com,NO BOT,no-chat-widget,Redo,
prhome.co.uk,NO BOT,not-probed,,
prideandpinion.com,NO BOT,no-chat-widget,,
primalstrength.com,NO BOT,no-chat-widget,Zendesk,
pringlescotland.com,NO BOT,no-chat-widget,,
print.work,NO BOT,not-probed,,
printclublondon.com,NO BOT,not-probed,,
privatewhitevc.com,TEXT BOT,ai-lookup-login-gated,Gorgias;Zendesk,I can help with that. Please log in so we can check your order status and tracking for you. Verify order details
pro-hormones.co.uk,NO BOT,no-chat-widget,,
probomedical.co.uk,NO BOT,not-probed,,
prodograw.com,NO BOT,no-chat-widget,,
professorpuzzle.com,NO BOT,not-probed,,
profilebooks.com,NO BOT,not-probed,,
progressiveparts.com,NO BOT,not-probed,,
progressjj.co.uk,NO BOT,no-chat-widget,,
promenademusic.co.uk,NO BOT,not-probed,,
prontodirect.co.uk,NO BOT,not-probed,,
protect-mypet.com,NO BOT,not-probed,,
protectapet.com,NO BOT,no-chat-widget,,
proteinpackage.co.uk,TEXT BOT,no-response-human-queue,,
provizsports.com,NO BOT,no-chat-widget,Gorgias,
prya.co.uk,BUTTONS BOT,menu-only-no-freetext,,
psp.uk.com,NO BOT,not-probed,,
psyclelondon.com,NO BOT,no-chat-widget,,
puckstop.com,NO BOT,no-chat-widget,,
purdyandfigg.com,NO BOT,no-chat-widget,,
purechemistrylingerie.com,NO BOT,not-probed,,
purejewels.com,BUTTONS BOT,menu-only-no-freetext,Tawk.to,typically reply in a few minutes
purenails.co.uk,NO BOT,no-chat-widget,Redo,
pureseoul.co.uk,NO BOT,no-chat-widget,,
purespauk.com,TEXT BOT,no-response-human-queue,Tawk.to,
puresport.co,NO BOT,no-chat-widget,,
pushkinpress.com,NO BOT,not-probed,,
puttout.golf,NO BOT,no-chat-widget,,
quatrogymnastics.com,NO BOT,no-chat-widget,,
quickblock.uk,NO BOT,not-probed,,
quoc.cc,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so I can check your latest order status and tracking. Verify order details"
racetorx.co.uk,NO BOT,no-chat-widget,,
rachaelskitchen.co.uk,NO BOT,not-probed,,
radleys.com,NO BOT,no-chat-widget,,
ragdalehall.co.uk,NO BOT,not-probed,,
railadvent.co.uk,NO BOT,not-probed,,
raisingrobots.com,NO BOT,not-probed,,
rareteacompany.com,NO BOT,no-chat-widget,,
ratstands.com,NO BOT,not-probed,,
ravecoffee.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
ravenforge.com,NO BOT,blocked-not-probed,,
raycom.co.uk,NO BOT,not-probed,,
razzanj.com,NO BOT,not-probed,,
rdxsports.com,NO BOT,not-probed,,
reaktionbooks.co.uk,NO BOT,not-probed,,
reboxed.co,BUTTONS BOT,menu-only-no-freetext,,
redemptionroasters.com,NO BOT,no-chat-widget,,
redrockgames.co.uk,NO BOT,not-probed,,
reedfamilylinen.com,NO BOT,not-probed,,
refybeauty.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
regalrose.co.uk,NO BOT,no-chat-widget,,
regulation.co.uk,NO BOT,blocked-not-probed,,
rehook.bike,NO BOT,no-chat-widget,,
reidbikes.com,NO BOT,no-chat-widget,,
rejinapyo.com,NO BOT,no-chat-widget,,
reliked.com,NO BOT,no-chat-widget,,
relish-life.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"I’m sorry, I can’t see your order details just yet. Please log in so I can check your order status and tracking for you. Verify order details"
renegadebrewery.co.uk,NO BOT,not-probed,,
reptilecentre.com,NO BOT,no-chat-widget,,
restingpets.co.uk,NO BOT,not-probed,,
restrap.com,BUTTONS BOT,menu-only-no-freetext,Zendesk,
revivalvintage.co.uk,NO BOT,no-chat-widget,Redo,
revolution.co.uk,NO BOT,not-probed,,
revolutionbeauty.com,NO BOT,no-chat-widget,,
rewiresecurity.co.uk,NO BOT,not-probed,,
rflandscapeproducts.co.uk,NO BOT,no-chat-widget,Tidio,
rhealsuperfoods.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
rhinobds.co.uk,NO BOT,not-probed,,
rickstein.com,NO BOT,not-probed,,
ridgemonkey.co.uk,NO BOT,not-probed,,
riseandfall.co,NO BOT,no-chat-widget,Richpanel,
ritelite.co.uk,NO BOT,not-probed,,
roandzo.com,NO BOT,no-chat-widget,Gorgias,
robertwelch.com,NO BOT,other-reply,Re:amaze,Not Sent Yet We just need some more information from you to proceed: Name Email Send
rockettstgeorge.co.uk,NO BOT,no-chat-widget,Redo,
roebuckestates.co.uk,NO BOT,no-chat-widget,,
rokalondon.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hello, I can help with that. Please log in so we can check your order status for you. Verify order details"
roksanda.com,NO BOT,no-chat-widget,,
rolandmouret.com,NO BOT,no-chat-widget,,
rolexwatchtrader.co.uk,NO BOT,not-probed,,
rollandplaypress.com,NO BOT,no-chat-widget,,
rollingcenter.co.uk,NO BOT,not-probed,,
ronhill.com,NO BOT,no-chat-widget,,
roobba.com,NO BOT,no-chat-widget,,
roofglaze.co.uk,NO BOT,not-probed,,
rosehill.co.uk,NO BOT,not-probed,,
rosetone.co.uk,NO BOT,not-probed,,
rotarywatches.com,NO BOT,no-chat-widget,,
rothkoandfrost.com,NO BOT,no-chat-widget,,
roughtrade.com,NO BOT,not-probed,,
routeone.co.uk,TEXT BOT,canned-wait-time,Gorgias,Typically replies in a few minutes Thanks for reach
rover.com,NO BOT,not-probed,,
rowebb.com,NO BOT,not-probed,,
rowenhomes.com,NO BOT,no-chat-widget,,
royal-needlework.org.uk,NO BOT,no-chat-widget,,
royalballetschool.org.uk,NO BOT,no-chat-widget,,
royalcrownderby.co.uk,NO BOT,not-probed,,
royce-lingerie.co.uk,NO BOT,not-probed,,
royensoc.co.uk,BUTTONS BOT,prechat-form-gated,,
rubberroofingdirect.co.uk,NO BOT,not-probed,,
rudehealth.com,NO BOT,no-chat-widget,,
rules.co.uk,NO BOT,not-probed,,
run4it.com,NO BOT,no-chat-widget,,
runderwear.com,NO BOT,no-chat-widget,,
rupertsanderson.com,TEXT BOT,no-response-human-queue,Zendesk,
rylandpeters.com,NO BOT,no-chat-widget,,
s4sdental.com,NO BOT,no-chat-widget,,
sabeny.com,NO BOT,not-probed,,
sablelabs.co,BUTTONS BOT,menu-only-no-freetext,,
saebo.com,NO BOT,not-probed,,
safiro.com,NO BOT,not-probed,,
sailshadesdirect.co.uk,NO BOT,not-probed,,
saladproject.co.uk,NO BOT,no-chat-widget,,
salonequipmentcentre.co.uk,BUTTONS BOT,menu-only-no-freetext,Tawk.to,typically reply in a few minutes
saloniworld.com,NO BOT,no-chat-widget,,
salonsupplies.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can check your order status and tracking details for you. Verify order details"
sammcknight.com,NO BOT,no-chat-widget,,
sanremouk.com,NO BOT,not-probed,,
sassiholford.com,NO BOT,not-probed,,
sassysaints.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
sauceshop.co,BUTTONS BOT,menu-only-no-freetext,Gorgias,
sausageman.co.uk,NO BOT,not-probed,,
savernakeknives.co.uk,NO BOT,not-probed,,
savetherhino.org,NO BOT,not-probed,,
savoirbeds.com,BUTTONS BOT,menu-only-no-freetext,LiveChat,
sayitwith.com,NO BOT,no-chat-widget,,
sbdapparel.com,TEXT BOT,no-response-human-queue,Zendesk,
scampanddude.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
scandikitchen.co.uk,NO BOT,not-probed,,
scaramangashop.co.uk,TEXT BOT,no-response-human-queue,Zendesk,
scentstore.com,NO BOT,not-probed,,
scooms.com,NO BOT,no-chat-widget,,
scottbrothersbutchers.co.uk,NO BOT,not-probed,,
scottish-gallery.co.uk,NO BOT,not-probed,,
scottishwildlifetrust.org.uk,NO BOT,not-probed,,
screamingfrog.co.uk,NO BOT,not-probed,,
screampretty.com,NO BOT,no-chat-widget,,
scribbler.com,NO BOT,no-chat-widget,Intercom,
scrumbles.co.uk,BUTTONS BOT,menu-only-no-freetext,Intercom,
sea-band.com,NO BOT,no-chat-widget,,
seafreshuk.com,NO BOT,not-probed,,
sealskinz.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
seamagik.com,TEXT BOT,no-response-human-queue,,
seastarsuperbikes.co.uk,NO BOT,not-probed,,
securikey.co.uk,NO BOT,not-probed,,
seggiano.com,NO BOT,no-chat-widget,,
selections.com,NO BOT,no-chat-widget,,
sense.org.uk,NO BOT,not-probed,,
sentricsafetygroup.com,NO BOT,not-probed,,
serenbooks.com,NO BOT,blocked-not-probed,,
sergedenimes.com,NO BOT,no-chat-widget,Gorgias,
sevenbro7hers.com,NO BOT,no-chat-widget,,
sewoverit.com,NO BOT,no-chat-widget,,
shades-blinds.co.uk,NO BOT,not-probed,,
shadowfoam.com,NO BOT,no-chat-widget,Tidio,
shakethatweight.co.uk,NO BOT,not-probed,,
sheepinc.com,NO BOT,no-chat-widget,,
sheilafleet.com,NO BOT,no-chat-widget,,
shepheardwalwyn.com,NO BOT,not-probed,,
sherlock-holmes.co.uk,NO BOT,not-probed,,
shiresequestrian.com,TEXT BOT,asks-for-order-details,Gorgias,"Hello, I can check that for you. Please send your order number using digits only, for example 1001."
shirtframingservice.co.uk,NO BOT,not-probed,,
shootblue.tv,NO BOT,not-probed,,
shopcircle.co,NO BOT,no-chat-widget,Freshchat,
shoreusable.com,NO BOT,no-chat-widget,,
shotscope.com,NO BOT,not-probed,,
showerpowerbooster.co.uk,NO BOT,not-probed,,
siegestudios.co.uk,NO BOT,not-probed,,
signals.uk.com,NO BOT,not-probed,,
signofthetimeslondon.com,NO BOT,no-chat-widget,,
siksilk.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
simbasleep.com,BUTTONS BOT,menu-only-no-freetext,Zendesk,
simmi.com,NO BOT,no-chat-widget,,
simplylockers.co.uk,NO BOT,not-probed,,
simplymedicals.co.uk,NO BOT,not-probed,,
singgin.com,NO BOT,not-probed,,
sipchampagnes.com,BUTTONS BOT,menu-only-no-freetext,,
sipsmith.com,NO BOT,no-chat-widget,,
sirri.co.uk,NO BOT,no-chat-widget,,
sisterjane.com,NO BOT,no-chat-widget,,
sixstories.co.uk,NO BOT,no-chat-widget,Gorgias,
skates.co.uk,NO BOT,no-chat-widget,Gorgias;Richpanel;Zendesk,
skerryvore.com,NO BOT,not-probed,,
skincupid.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
skinnydiplondon.com,NO BOT,no-chat-widget,Zendesk,
skinrocks.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry you’re having trouble checking your order. Please log in so we can look up your latest order and give you an update 🙂 Verify order details"
skyecandles.co.uk,NO BOT,no-chat-widget,,
slickgorilla.co.uk,NO BOT,no-chat-widget,Gorgias,
smarter.am,BUTTONS BOT,prechat-form-gated,,
smiffys.com,BUTTONS BOT,menu-only-no-freetext,Re:amaze,
smithandwollensky.co.uk,NO BOT,not-probed,,
smithscoffee.co.uk,NO BOT,not-probed,,
smokin-brothers.com,NO BOT,no-chat-widget,,
smoko.com,NO BOT,blocked-not-probed,,
snackfully.co.uk,TEXT BOT,ai-no-lookup-escalates,Gorgias,wait time is greater than 15 minutes
sneakenergy.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, but I can’t see your order details yet. Please log in so we can check your latest order status and tracking for you 👍 Verify order details"
snootyfrox.co.uk,NO BOT,not-probed,,
snuggy.com,NO BOT,no-chat-widget,,
soakandsleep.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hello, I’m sorry, I’m not able to view your order just yet. Please log in and then share your order number, the first and last name used on the order, and the email address used to place it so we can check this for you. Verify order details"
sog.org.uk,NO BOT,no-chat-widget,,
solarsunshades.co.uk,NO BOT,not-probed,,
somethingandnothing.co,BUTTONS BOT,menu-only-no-freetext,Intercom,
sonofastag.com,NO BOT,no-chat-widget,Gorgias,
sons.co.uk,BUTTONS BOT,prechat-form-gated,DigitalGenius,
sophieallport.com,NO BOT,no-chat-widget,,
sorbus-intl.co.uk,NO BOT,not-probed,,
sorelleuk.com,NO BOT,no-chat-widget,,
soulcap.com,NO BOT,no-chat-widget,,
soundgas.com,NO BOT,no-chat-widget,,
soundingbowls.com,NO BOT,not-probed,,
soundleisure.com,NO BOT,not-probed,,
sourcebmx.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
souschef.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
southdevonchillifarm.co.uk,NO BOT,no-chat-widget,,
southlondongallery.org,NO BOT,not-probed,,
sparkle.lighting,NO BOT,no-chat-widget,,
specialisedcovers.com,NO BOT,not-probed,,
speedo.com,NO BOT,no-chat-widget,,
speedstitch.co.uk,NO BOT,not-probed,,
speyfruit.co.uk,NO BOT,not-probed,,
spiritofwales.com,NO BOT,not-probed,,
spitfireaudio.com,NO BOT,not-probed,,
splatdecoratingsupplies.co.uk,NO BOT,not-probed,,
spoke-london.com,NO BOT,other-reply,Dixa,Let’s get started with your information Your name (Required) Your e-mail (Required) Required Continue
sportaberdeen.co.uk,NO BOT,not-probed,,
springfit.org,NO BOT,not-probed,,
st-eval.com,NO BOT,no-chat-widget,,
stairfurb.co.uk,NO BOT,not-probed,,
startwithovum.com,NO BOT,no-chat-widget,,
status.co.uk,NO BOT,not-probed,,
steamforged.com,NO BOT,no-chat-widget,Gorgias,
steinsfoods.com,NO BOT,no-chat-widget,,
stephenwebster.com,NO BOT,no-chat-widget,,
sterlingmint.co.uk,NO BOT,not-probed,,
stickandribbon.com,NO BOT,not-probed,,
stjohnrestaurant.com,NO BOT,no-chat-widget,,
stlpartners.com,NO BOT,not-probed,,
stockedfood.com,NO BOT,no-chat-widget,Gorgias,
stocksigns.co.uk,NO BOT,not-probed,,
stolengoat.com,NO BOT,not-probed,,
stoltrunning.com,NO BOT,not-probed,,
storiesflooring.co.uk,NO BOT,no-chat-widget,Tidio,
stormwatches.com,BUTTONS BOT,menu-only-no-freetext,,
storyhouseegmont.co.uk,NO BOT,not-probed,,
storymfg.com,NO BOT,no-chat-widget,Gorgias,
strataproducts.co.uk,NO BOT,not-probed,,
strathberry.com,NO BOT,no-chat-widget,Gorgias,
streetgarm.com,NO BOT,not-probed,,
strengthandconditioningeducation.com,BUTTONS BOT,menu-only-no-freetext,Tawk.to,typically reply in a few minutes
stripeandstare.com,NO BOT,blocked-not-probed,,
strodepark.org.uk,NO BOT,not-probed,,
stroke.org.uk,NO BOT,not-probed,,
stuartslondon.com,BUTTONS BOT,menu-only-no-freetext,,
stubbingsnursery.co.uk,NO BOT,not-probed,,
styrkr.com,NO BOT,no-chat-widget,,
sugarsin.co.uk,BUTTONS BOT,menu-only-no-freetext,,
sunnamusk.com,TEXT BOT,other-reply,Zendesk,"Sunnamusk's AI Agent Hello, welcome to Sunnamusk. How can I assist you with your order, shipping, returns, or any other enquiry today? You say: Sent · Just now Sunnamusk's AI Agent I’m sorry your order hasn’t arrived 😔 Let’s get this sorted quickly for you. Can you tell me which country you placed your order from? United Kingdom France Germany Netherlands Sweden"
sunspel.com,TEXT BOT,no-response-human-queue,Freshchat,
supakit.co,NO BOT,no-chat-widget,,
suresafe.co.uk,NO BOT,no-chat-widget,,
surescreen.com,NO BOT,not-probed,,
susancaplan.co.uk,BUTTONS BOT,menu-only-no-freetext,,
sussexbeds.co.uk,NO BOT,not-probed,,
sustainable-furniture.co.uk,NO BOT,not-probed,,
swaggerandjacks.com,NO BOT,no-chat-widget,,
swaledale.co.uk,TEXT BOT,no-response-human-queue,Zendesk,
swayhairextensions.com,NO BOT,no-chat-widget,,
swaz.co.uk,NO BOT,no-chat-widget,,
sweatband.com,NO BOT,no-chat-widget,,
sweettreebybrowns.co.uk,NO BOT,no-chat-widget,,
swiftyscooters.com,NO BOT,no-chat-widget,,
swisstimepieces.co.uk,NO BOT,not-probed,,
swytchbike.com,NO BOT,not-probed,,
symprove.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
tabilo.co.uk,NO BOT,not-probed,,
tabletennisengland.co.uk,NO BOT,not-probed,,
talkingheadsets.co.uk,NO BOT,not-probed,,
tangleangel.com,NO BOT,no-chat-widget,,
tangleteezer.com,TEXT BOT,ai-lookup-login-gated,Gorgias;Zendesk,"Hi, I can help with that. Please log in so we can look up your latest order and check its status for you 🙂 Verify order details"
tatamifightwear.com,NO BOT,no-chat-widget,,
tateossian.com,NO BOT,no-chat-widget,,
tattilashes.com,NO BOT,no-chat-widget,,
tcpi.eu,NO BOT,no-chat-widget,,
tcsjohnhuxley.com,NO BOT,not-probed,,
teamgrassroots.co.uk,NO BOT,not-probed,,
teapeople.co.uk,BUTTONS BOT,menu-only-no-freetext,,
tech21.com,NO BOT,no-chat-widget,,
tedtodd.co.uk,NO BOT,not-probed,,
tegenaccessories.co.uk,NO BOT,no-chat-widget,,
temperleylondon.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
tentbox.com,NO BOT,no-chat-widget,,
terra-nova.co.uk,NO BOT,not-probed,,
terrysfabrics.co.uk,TEXT BOT,asks-for-order-details,Zendesk,"You say: Sent · Just now No probelm. So I can look up your order, please enter the email address you used to place your order. Do you have this? Yes 👍 No 👎"
thatcherscider.co.uk,NO BOT,not-probed,,
the-rugs.com,NO BOT,no-chat-widget,,
theautoimmunitynutritionist.com,NO BOT,no-chat-widget,,
thebeautycrop.com,NO BOT,no-chat-widget,,
thebettermenopause.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, I can’t look up your order just yet because you’re not logged in. Please sign in so we can check your order status for you. Verify order details"
thebiscuitfactory.com,NO BOT,not-probed,,
theblackcabcoffeeco.com,NO BOT,not-probed,,
theblacklock.com,NO BOT,not-probed,,
thebmc.co.uk,NO BOT,not-probed,,
thebodyshop.com,BUTTONS BOT,menu-only-no-freetext,Gorgias;Zendesk,
thebritishblanketcompany.com,NO BOT,no-chat-widget,Gorgias,
thebumptobabychapter.co.uk,NO BOT,not-probed,,
thebyte9.com,NO BOT,not-probed,,
thecashroom.co.uk,NO BOT,not-probed,,
thecheesesociety.co.uk,NO BOT,not-probed,,
thecornishcompany.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
thecornishfishmonger.co.uk,NO BOT,no-chat-widget,,
thecreamstore.com,NO BOT,not-probed,,
thediamondstore.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hello, I’m sorry you’re having trouble tracking your order. Please log in so we can check your latest order status, or send your order number, the email used for the order, and your shipping address here. Verify order details"
theenglishsoapcompany.com,NO BOT,not-probed,,
thefabledthread.com,NO BOT,blocked-not-probed,,
thefishsociety.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
thefoldline.com,BUTTONS BOT,menu-only-no-freetext,,
thefragranceworld.co.uk,NO BOT,not-probed,,
thegarlicfarm.co.uk,NO BOT,no-chat-widget,,
thegilpin.co.uk,NO BOT,not-probed,,
theglenturret.com,NO BOT,blocked-not-probed,,
thegoodloaf.co.uk,NO BOT,not-probed,,
thegoodprep.com,NO BOT,no-chat-widget,,
thegreatfroglondon.com,NO BOT,no-chat-widget,,
thehawksmoor.com,NO BOT,not-probed,,
thehireman.co.uk,NO BOT,not-probed,,
thehomeofinteriors.co.uk,NO BOT,not-probed,,
theioutlet.com,NO BOT,not-probed,,
theirperfectgift.co.uk,NO BOT,not-probed,,
thejapaneseshop.co.uk,NO BOT,no-chat-widget,,
thekidcollective.co.uk,TEXT BOT,canned-wait-time,Gorgias,We will get back to you in about 6 minutes
thelimitededition.co.uk,NO BOT,not-probed,,
thelondongeneralpractice.com,NO BOT,not-probed,,
thenunheadgardener.com,NO BOT,not-probed,,
theoffsideline.com,NO BOT,not-probed,,
theorganicpharmacy.com,BUTTONS BOT,menu-only-no-freetext,Intercom,
theoutdoorguide.co.uk,NO BOT,not-probed,,
theoutdoorscompany.co.uk,NO BOT,not-probed,,
thepihut.com,NO BOT,no-chat-widget,,
thepresenttree.com,NO BOT,no-chat-widget,,
theraggedpriest.com,NO BOT,no-chat-widget,Gorgias,
therockfish.co.uk,NO BOT,no-chat-widget,,
thescratchdoctor.co.uk,NO BOT,not-probed,,
theseepcompany.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
thesewingstudio.co.uk,NO BOT,no-chat-widget,Gorgias,
thesmokeycarter.com,NO BOT,no-chat-widget,Crisp,
thesportsedit.com,NO BOT,no-chat-widget,,
thestraptailor.com,NO BOT,no-chat-widget,Gorgias,
thetraditionalco.co.uk,NO BOT,not-probed,,
theturmeric.co,NO BOT,no-chat-widget,Gorgias,
theunderdays.com,NO BOT,blocked-not-probed,,
thewhiskybarrel.com,NO BOT,blocked-not-probed,,
thewrightbrothers.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
thisisunfolded.com,TEXT BOT,ai-no-lookup-escalates,Gorgias,"Hi, thanks for getting in touch. We understand you want an update on your order, and our team is happy to look at it with you. We have passed your request to our team, and a person will follow up in a few hours. If you would like, you may leave a contact email for follow-up 🙂 Leave us your email * Submit A support agent is joining the chat Feel free to ask more questions — our team members will respond as soon as they join in."
thomaskosmala.com,NO BOT,no-chat-widget,,
thorhammer.com,NO BOT,not-probed,,
threespiritdrinks.com,NO BOT,blocked-not-probed,,
thrift.plus,BUTTONS BOT,menu-only-no-freetext,Intercom,
thrifted.com,NO BOT,no-chat-widget,,
thrudark.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
tierzerogames.com,NO BOT,no-chat-widget,,
tiga.org,NO BOT,not-probed,,
tilesuk.com,BUTTONS BOT,menu-only-no-freetext,,
time4sleep.co.uk,NO BOT,blocked-not-probed,,
tiptree.com,NO BOT,no-chat-widget,,
tmlewin.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
tnmcoaching.com,NO BOT,not-probed,,
togknives.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hello. I’m sorry, but we could not access your order details yet. Please log in so we can check your order status and tracking for you. Verify order details"
tomhixson.co.uk,NO BOT,no-chat-widget,LiveChat,
tomstrunks.com,NO BOT,no-chat-widget,Gorgias,
topspinpro.com,NO BOT,not-probed,,
torqfitness.co.uk,NO BOT,not-probed,,
totalbathrooms.co.uk,NO BOT,not-probed,,
totalcards.net,NO BOT,no-chat-widget,Intercom,
totaltele.com,NO BOT,not-probed,,
totalwardrobecare.co.uk,NO BOT,no-chat-widget,,
totm.com,TEXT BOT,no-response-human-queue,Help Scout,
tradeaccesspanels.co.uk,NO BOT,not-probed,,
trailblazerbbq.com,NO BOT,not-probed,,
transcon.co.uk,NO BOT,not-probed,,
travel-blue.com,NO BOT,not-probed,,
travellingman.com,NO BOT,no-chat-widget,,
tray.ai,NO BOT,not-probed,,
treatboxuk.com,BUTTONS BOT,menu-only-no-freetext,,
tree2mydoor.com,TEXT BOT,no-response-human-queue,Help Scout,
treesforlife.org.uk,NO BOT,no-chat-widget,,
tregroeswaffles.co.uk,NO BOT,not-probed,,
trendygolf.com,NO BOT,no-chat-widget,,
trevorsorbie.com,NO BOT,not-probed,,
trickers.com,NO BOT,no-chat-widget,Gorgias,
triharder.co.uk,NO BOT,not-probed,,
trimetals.co.uk,NO BOT,not-probed,,
trippin.world,NO BOT,not-probed,,
tropicalglass.co.uk,NO BOT,no-chat-widget,Tidio,
trotters.co.uk,TEXT BOT,deflects-to-article,Zendesk,Was this helpful
trust-technique.com,NO BOT,no-chat-widget,Help Scout,
truthpaste.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
trysuri.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
turnbullandasser.co.uk,NO BOT,no-chat-widget,,
turnstyledesigns.com,NO BOT,not-probed,,
tweezerman.co.uk,NO BOT,no-chat-widget,,
uj-ng.com,BUTTONS BOT,menu-only-no-freetext,Tawk.to,
ukbathroomstore.co.uk,BUTTONS BOT,menu-only-no-freetext,Tawk.to,typically reply in a few minutes
ukbodytalk.com,NO BOT,not-probed,,
ukdoorsonline.co.uk,NO BOT,no-chat-widget,,
ukhomeinteriors.co.uk,NO BOT,not-probed,,
uklash.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m Grace, UKLASH’s AI support assistant, and I’m here to help. To check where your order is, please log in so we can view your order details securely. Verify order details"
ukpoolstore.co.uk,NO BOT,no-chat-widget,,
ukradiators.com,TEXT BOT,asks-for-order-details,Zendesk,How can I help you today? You say: Sent · Just now Lets get you an update on your order! 😊 Please provide your order number.
ukrunchat.co.uk,NO BOT,not-probed,,
uktherapyguide.com,NO BOT,no-chat-widget,,
unfabled.co,NO BOT,no-chat-widget,,
uniformstandard.com,NO BOT,no-chat-widget,Tidio,
unionroasted.com,NO BOT,no-chat-widget,,
upandrunning.co.uk,NO BOT,no-chat-widget,,
upcirclebeauty.com,BUTTONS BOT,menu-only-no-freetext,,
urbanebikes.com,NO BOT,no-chat-widget,,
urbanindustry.co.uk,NO BOT,no-chat-widget,Tawk.to,
urbanwellnesscounseling.com,NO BOT,not-probed,,
urmet.co.uk,NO BOT,not-probed,,
usecadence.com,NO BOT,no-chat-widget,Richpanel,
v12footwear.com,BUTTONS BOT,menu-only-no-freetext,,
valentte.com,NO BOT,no-chat-widget,,
vapable.com,NO BOT,not-probed,,
vape.co.uk,NO BOT,not-probed,,
veals.co.uk,NO BOT,not-probed,,
vehicle-accessories.net,NO BOT,not-probed,,
veloforte.com,NO BOT,no-chat-widget,,
vemacity.com,NO BOT,no-chat-widget,,
venicci.co.uk,NO BOT,not-probed,,
venturephotography.com,NO BOT,not-probed,,
verm-x.com,NO BOT,no-chat-widget,,
versaclimber.com,NO BOT,not-probed,,
vesternet.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I know you want an update on your order. Please log in so we can check it for you right away 🙂 Verify order details"
vetlabsupplies.co.uk,NO BOT,not-probed,,
vibeaudio.co.uk,NO BOT,no-chat-widget,,
victoriabeckham.com,NO BOT,no-chat-widget,,
victory.digital,NO BOT,no-chat-widget,,
