query_name,segment,Domain,Name,company_clean,icp_fit,industry_groups,business_model,Score,similarity,revenue_range,employees,start_date,City,State,Country,phones,public_emails,description,batch_id,emails_ok_count,emails_catchall_count,contacts_with_ok,reachable_status,ingested_at,Company,Title,Seniority,Department,Email,Verified,Phone,Social,Connections,_sheet_id,✨ ICP Fit,Similarity,Industry Groups,Employees,Start Date,Street,Zip,Redirect Domain,Description,Keywords,Update Date,source_sheet
General Moving Companies in US / CA,no_contacts,bravosmoving.com,Bravos Moving Company,Bravos Moving Company,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.96",57,,1-10M,11-50,2022-11-18,North York,ON,CA,+18888990302,info@bravosmoving.com,"Bravos Moving is a moving company that offers a variety of professional moving services for residential and commercial moves across Canada and internationally. Their main functionalities include local, long-distance, cross-border, and specialized moving solutions such as furniture assembly, packing, and transportation. Key features include transparent pricing with no hidden fees, experienced movers, and a commitment to customer satisfaction through reliable service and expert support.",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,ancientmovers.ca,Ancient Movers,Ancient Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.88, B2C:0.96",91,,1-10M,1-10,2021-05-22,Windsor,NS,CA,+12269357146,support@ancientmovers.ca,"Ancient Movers is a moving service based in Windsor-Essex that offers a range of relocation solutions for both residential and commercial moves. Their main services include piano moving, senior moving, pool table moving, and hot tub relocations. They provide free estimates, customized moving plans, and 24/7 emergency services to ensure a smooth transition. The company operates a fleet of 26′ trucks equipped with specialized tools for efficient packing and assembly.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,economymoversri.net,Economy Movers & Storage,Economy Movers & Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.96",95,,1-10M,1-10,2019-02-06,Cranston,RI,US,"+14014673525, +14013697073",info@economymoversri.net,"Economy Movers & Storage is a moving company based in Rhode Island that provides residential and commercial relocation services. They offer a range of moving solutions including interstate moves, furniture move assistance, and specialized moving for pianos and other items. The company emphasizes personalized service, efficient packing, and customer satisfaction, ensuring that all belongings are handled with care and professionalism. Established in 1976, they serve clients across Rhode Island, Ma",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,forwardvanlines.com,Forward Van Lines,Forward Van Lines,yes,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.97",215,,1-10M,11-50,2015-06-15,Fort Lauderdale,FL,US,"+15618910456, +14045828877, +18556631232, +18557367927, +18557672927, +18559613240, +19546784757",info@forwardvanlines.com,"G.K. Computer Education is an educational institution that offers vocational training and career programs in various IT fields. The main purpose of the institute is to enhance employability through short-term courses, government-sponsored initiatives, and partnerships with companies. Key features include a wide range of computer courses, job placement services, and a focus on practical skills development for students. The institute has trained over 25,000 candidates and collaborates with multipl",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,getdonemove.com,Get Done Moving,Get Done Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.97",104,,1-10M,11-50,2017-09-29,Altamonte Springs,FL,US,"+14073053716, +14075347628",info@getdonemove.com,"Get Done Moving is a local moving and storage company based in Altamonte Springs, FL. They offer personalized moving services for both residential and commercial clients, including packing, unpacking, and transportation. The company utilizes advanced technology to ensure efficient transport and provides containerized storage solutions tailored to customer needs. Their team focuses on delivering a smooth relocation experience with a commitment to customer satisfaction and timely project completio",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,relo.ai,Relo.AI,Relo.AI,partial,"BUSINESS_PRODUCTS_AND_SERVICES:0.32, CONSUMER_SERVICES:0.31","B2B:0.87, B2C:0.82",62,,N/A,11-50,2021-07-19,South Boston,MA,US,"+16173338453, +16179056622","info@relo.ai, contact@relo.ai, mac.chinsomboon@nemoves.com","The ReloAI is a platform that provides corporate and personal relocation services tailored for individuals, families, and businesses looking to relocate globally. It offers personalized strategies, financial support, and assistance throughout the moving process, including city guides and real estate options. Key features include AI-optimized relocation routes, risk mitigation plans, and access to specialized programs for various sectors such as healthcare, engineering, and technology. The servic",moveplnr-2026-05-29-companies-batch3000-1,0,2,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,globalmoving.ca,Global Moving,Global Moving,yes,CONSUMER_SERVICES:0.98,"B2B:0.99, B2C:0.96",216,,1-10M,1-10,2018-02-28,Lasalle,QC,CA,+15147084618,info@globalmoving.ca,"Global Moving is a moving company based in Montreal that offers both local and long-distance moving services for homes and businesses. Their main functionalities include packing, unpacking, and storage services, as well as specialized moves for seniors and students. Key features include competitive pricing, trained movers, a fleet of fully equipped trucks, and a commitment to customer satisfaction through fast communication and thorough cleaning after the move. They also provide flexible moving",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,apromoversva.com,A Pro Movers,A Pro Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.93",51,,1-10M,1-10,2022-09-22,Fairfax,VA,US,+17034741271,,"A-Pro Movers is a professional moving company serving Northern Virginia, Southern Maryland, and Washington D.C. They offer a variety of moving services including local and long-distance moves, junk removal, house cleaning, and specialized move-ins for homes and businesses. A-Pro Movers operates three service crews to ensure efficient coordination and personalized support throughout the moving process, focusing on environmentally friendly practices and customer satisfaction. Their team consists o",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,aperfectmover.com,A Perfect Mover LLC,A Perfect Mover,yes,CONSUMER_SERVICES:0.99,"B2B:0.99, B2C:0.95",107,,1-10M,1-10,2018-09-09,Everett,WA,US,+14256910231,info@aperfectmover.com,"A Perfect Mover is a moving company based in the Seattle metropolitan area that offers a range of services for both local and commercial moves. Their main functionalities include professional packing, storage solutions, long-distance relocations, and junk removal. The team specializes in personalized moving experiences, ensuring timely arrivals and careful handling of fragile items, while also providing comprehensive insurance coverage and proactive communication throughout the move process. The",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,stylesmoving.com,Styles Moving,Styles Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.94",70,,1-10M,1-10,2024-01-20,Ridgeland,MS,US,"+12562842099, +16019142220, +16622053263",,"Styles Moving is a moving company that offers a variety of services for residential, commercial, and long-distance moves. Their main functionalities include packing, loading, and transporting belongings safely and on time, as well as providing specialized moving services like piano moving and senior moving. They also offer secure storage solutions through their own network of over 10,000 licensed and insured warehouses across Central Mississippi and Alabama. The team focuses on customer satisfac",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,movers-vancouver.ca,Smart Movers Vancouver,Smart Movers Vancouver,yes,CONSUMER_SERVICES:0.99,"B2B:0.87, B2C:0.96",57,,10-100M,1-10,2020-08-19,Vancouver,BC,CA,+17783832660,,"Smart Movers Vancouver is a moving company that offers a range of services for residential and office moves, including long-distance moving, office relocations, piano move, storage solutions, and cargo delivery. Their main functionality is to provide professional moving assistance throughout the relocation process, ensuring safe and efficient handling of belongings such as furniture, appliances, and pool tables. Key features include free quotes, experienced movers, and flexible service options t",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,eeemoving.com,eeeMoving,eeeMoving,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.89",32,,1-10M,1-10,2023-12-27,Brooklyn,NY,US,,info@eeemoving.com,"eeeMoving is a moving service provider based in Brooklyn, New York, offering local and long-distance relocation solutions. Their main services include professional packing and unpacking, eco-friendly moving practices, and specialized moving for unique items like pianos and antiques. They also provide flexible scheduling options to accommodate busy lifestyles and emphasize sustainability with recyclable packing materials. The company serves various areas including Staten Island, Queens, Long Isla",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,bufordmovingcompany.com,3 Movers & 1 Truck LLC,3 Movers & 1 Truck,yes,CONSUMER_SERVICES:0.98,"B2B:0.99, B2C:0.96",139,,1-10M,1-10,2017-12-12,Lawrenceville,GA,US,+14046928307,info@bufordmovingcompany.com,"3 Movers & 1 Truck LLC is a local moving company serving the Metro Atlanta area, specializing in both residential and commercial relocations. They offer services such as local moving, long-distance moving, packing, storage solutions, and specialized moves for seniors and military personnel. Their team consists of professional movers who ensure safe handling of items, organized loads, and personalized support throughout the moving process. The company emphasizes clear communication and reliabilit",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,onesourcemoving.ca,ONESource Moving Solutions,ONESource Moving Solutions,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.92",173,,1-10M,1-10,2017-07-09,Maidstone,ON,CA,+18556637723,info@onesourcemoving.ca,"ONESource Moving Solutions is a moving service that specializes in assisting seniors, families, and professionals with their relocation needs. They offer a range of services including packing, unpacking, cleaning, and logistics to ensure a smooth transition for clients. The company provides free consultations to understand individual needs and budgets, personalized solutions, and support throughout the move process. Their team consists of certified move managers who focus on stress-free transiti",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,arnonimoving.com,Arnoni Moving,Arnoni Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.97",148,,1-10M,1-10,2020-10-03,San Jose,CA,US,"+14084571386, +14086809172",info@arnonimoving.com,"All Gifts Online is an e-commerce platform that offers a wide range of gifts and homeware products for various occasions, including Christmas. The website features categories such as tech, games, kids' items, and personalized gifts tailored to different recipients like family or friends. Customers can enjoy free shipping on all orders and have the option to sign up for a newsletter for exclusive discounts and updates.",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,familymovingtwinfalls.net,Family Moving and Transport,Family Moving and Transport,yes,CONSUMER_SERVICES:1.0,"B2B:0.6, B2C:0.96",46,,1-10M,11-50,2024-10-28,Twin Falls,ID,US,+12088860696,,"Family Moving and Transport is a moving company based in Twin Falls, ID, specializing in the safe transport of delicate items such as artwork, sculptures, and antiques. With over 30 years of experience, their team offers professional moving services for household moves, long-distance moves, and custom furniture relocations. Key features include heavy lifting, unpacking, and compliance with safety regulations, along with personalized consultations to understand client needs and budget. The compan",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,preferredmovers.com,Preferred Movers,Preferred Movers,yes,CONSUMER_SERVICES:0.99,B2C:0.93,69,,1-10M,1-10,2020-08-04,Vacaville,CA,US,+17076782000,info@preferredmovers.com,"Preferred Movers is a moving and storage service based in Vacaville, CA. They offer a range of services including local, long-distance, office, overseas, packing, and home storage solutions. Customers can request free estimates and flexible scheduling to ensure a stress-free relocation experience. The company emphasizes customer satisfaction and professional service throughout the moving process.",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,safeway-moving.com,Safeway Moving & Storage,Safeway Moving & Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.95",130,,1-10M,1-10,2018-07-02,Lake Forest,CA,US,+19496390330,,"Safeway Moving & Storage is a family-owned moving company that offers local and long-distance relocation services in Orange County, California. They provide packing, storage solutions, and assistance for residential and commercial moves across the U.S., ensuring a smooth transition to new homes or destinations. Key features include personalized moving support, competitive pricing, and a commitment to customer service, with a focus on building trust through integrity and professionalism.",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,moveintuitoc.com,Move Intuit OC,Move Intuit OC,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.94",69,,1-10M,1-10,2021-10-05,Costa Mesa,CA,US,+19494021940,info@moveintuitoc.com,"Move Intuit is a moving company that provides residential and business moving services in Orange County, California. Their main functionality includes packing, loading, unloading, and storage solutions tailored to meet the specific needs of clients. Key features include a personalized moving process, professional packing materials, and a commitment to customer satisfaction with transparent pricing and reliable service. They also offer an online platform for managing moves and provide free estima",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,seniorsrelocationservices.ca,Seniors Relocation Services,Seniors Relocation Services,yes,CONSUMER_SERVICES:0.97,B2C:0.92,48,,<1M,1-10,2021-04-01,Oshawa,ON,CA,+17057682042,weknowseniors@bell.net,"Seniors Relocation Services offers moving assistance specifically for seniors, ensuring a smooth and stress-free move. Their services include comprehensive packing and transportation, Downsizing and item distribution, home preparation and cleaning, personalized setup, and coordination with senior apartment management and long-term care facilities. The company focuses on providing compassionate support while maintaining fair pricing and transparent communication throughout the moving process.",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,makespacenow.com,"Make Space Now, LLC",Make Space Now,yes,CONSUMER_SERVICES:1.0,"B2B:0.93, B2C:0.89",74,,<1M,11-50,2020-08-23,Melbourne,FL,US,+13213127959,,"Make Space Now, LLC offers senior move management, downsizing, packing, and organizing services in Brevard County, FL. The company provides full-service coordination from planning to moving day, ensuring a smooth transition for seniors, adult children, and busy professionals. Key features include step-by-step decluttering, thoughtful unpacking, and professional organization of homes to create functional spaces that enhance overall living environments. Clients can book free consultations to discu",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,dashingdeliveriesandmovingco.com,Dashing Deliveries & Moving Co.,Dashing Deliveries & Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.66, B2C:0.92",32,,<1M,1-10,2022-07-01,Sherman,CT,US,+12034486252,,"Dashing Deliveries & Moving Co. is a logistics service that offers same-day and scheduled delivery, moving, and storage solutions for various types of items. Their main functionality includes providing expert moving and lifting services, organizing interior moves, and storing furniture in eco-friendly containers. Key features include transparent pricing with no hidden fees, responsive support, and the ability to rent or purchase packing supplies tailored to individual needs.",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,moversrichmond.ca,Smart Movers Richmond,Smart Movers Richmond,yes,CONSUMER_SERVICES:1.0,"B2B:0.85, B2C:0.96",57,,10-100M,1-10,2020-08-27,Langley,BC,CA,"+12362605689, +12362605690, +12362605691, +12362633918, +12362645704, +12362655711, +12362665050, +16042003534, +16043911397, +16044720603, +16044720604, +16045212621, +16046154792, +16049461620, +17783832660, +17789527177",,"Smart Movers is a moving company based in Richmond, BC, offering a range of services for residential and office moves. Their main functionalities include local moving assistance, long-distance moving, furniture assembly, storage solutions, and garbage removal. The company emphasizes white-glove service, employs trained staff, and provides climate-controlled storage facilities to support the packing and unpacking needs of belongings. They also offer free quotes and have over 20 years of experienc",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,happyhomemovers.ca,Happy Home Movers,Happy Home Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.94, B2C:0.91",28,,1-10M,11-50,2024-02-17,Hamilton,ON,CA,+18778412701,info@happyhomemovers.ca,"Happy Home Movers is a full-service moving company that offers residential and long-distance relocation services. Their main functionality includes packing, loading, and unloading belongings for homes and businesses, as well as providing staging support. They utilize advanced moving equipment, including furniture protection gear, and offer transparent pricing with no hidden costs. The team consists of experienced movers who prioritize customer satisfaction and provide tailored solutions to meet",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,dandoingright.com,Dan Doing Right Movers,Dan Doing Right Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.99",30,,<1M,11-50,2024-09-02,Miami,FL,US,+17542191818,i@dandoingright.com,"Dan Doing Right Movers is a professional moving service based in South Florida, offering local and long-distance moves. Customers can obtain an instant quote for their move type, choose between two movers or four others, and schedule the move on a date that suits them. Key features include a background-checked crew, no hidden fees, furniture assembly included, and a guarantee of timely arrival. The company also provides nationwide coverage and volume-based pricing to accommodate various relocati",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,mimismoving.com,Mimi's Moving and Storage,Mimi's Moving and Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.9",47,,1-10M,11-50,2021-02-06,Methuen,MA,US,"+17074182790, +18552038894","pswindells@mimismoving.com, information@mimismoving.com","Mimi's Moving and Storage Services is a family-owned moving company based in Methuen, MA, with over 10 years of experience. They offer a range of services including residential moving, office relocations, apartment moves, long-distance moving, and storage solutions. Their team is available 24/7 to assist clients throughout the moving process, ensuring careful packing and safe handling of belongings. Additionally, they provide free estimates and competitive pricing for their services.",moveplnr-2026-05-29-companies-batch3000-1,2,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,galaxymoversinc.ca,Galaxy Movers Inc,Galaxy Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.84, B2C:0.91",38,,1-10M,1-10,2025-05-01,Edmonton,AB,CA,"+14036189052, +15874299052, +919245354335, +919815075956","info@galaxymoversinc.ca, info@motoweb.org","Galaxy Movers is a local moving company in Calgary, Alberta, offering a variety of moving services for residential, business, and long-distance moves. Their main functionalities include packing, unpacking, and safe transport of items such as furniture, pianos, seniors, and art. The company emphasizes transparent pricing, 24/7 customer support, and provides specialized solutions like power only applications and junk removal. They also offer competitive rates and have over a decade of experience i",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,getstartedhomeservices.com,Get Started Home Services,Get Started Home Services,yes,CONSUMER_SERVICES:1.0,"B2B:0.51, B2C:0.9",26,,1-10M,11-50,2024-05-08,Vancouver,BC,CA,+16049968512,admin@getstartedhomeservices.com,"Get Started Home Services offers full-service moving and home transitions for seniors, families, and homeowners in Metro Vancouver and the Fraser Valley. Their services include packing, unpacking, organizing, cleaning, auctioning, junk removal, and move-in setup, all managed by a single team tailored to individual needs. The company emphasizes thoughtful planning, reliable follow-through, and efficient handling of belongings to ensure smooth and organized moves. They have experience managing ove",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,specialtymovingsolutions.com,Specialty Moving Solutions,Specialty Moving Solutions,yes,CONSUMER_SERVICES:0.99,"B2B:0.95, B2C:0.85, B2G:0.92",143,,1-10M,1-10,2019-07-03,Chattanooga,TN,US,+19804417229,eric@specialtymovingsolutions.com,"Specialty Moving Solutions is a moving company based in Charlotte, NC, specializing in residential, commercial, and industrial moving services. They offer a range of services including heavy equipment moving, crating, shipping, and installation for items such as hot tubs, bank vault vaults, chandeliers, and art installations. The company emphasizes safety and customer satisfaction, ensuring that all projects are planned ahead of time to ensure the best possible relocation options.",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,letsstartmoving.com,Let's Start Moving,Let's Start Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.95",33,,<1M,1-10,2023-10-14,Nepean,ON,CA,+16137709139,,"Let's Start Moving is a moving company based in Ottawa that offers a variety of relocation services for both residential and commercial clients. Their main functionalities include local and long-distance moves, packing, transportation, and handling items such as furniture, appliances, and hot tubs. They provide customized moving packages, professional packing services, and have over 30 years of experience in the industry, ensuring safe and efficient move-related solutions. The company also empha",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,rextonmoving.com,Rexton Moving,Rexton Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.78, B2C:0.99",70,,1-10M,1-10,2018-05-18,Boston,MA,US,+16179875207,moving@rextonmoving.com,"Rexton Moving is a professional moving service that provides safe, fast, and affordable moves for individuals and businesses. Their main functionalities include packing, loading, unpacking, transportation, and assembly and disassembly of large items. They offer same-day estimates and provide insurance coverage to protect belongings during the move. The company focuses on delivering quality service at fair prices while ensuring a stress-free experience for clients.",moveplnr-2026-05-29-companies-batch3000-1,1,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,straightmoving.com,Straight Move,Straight Move,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.95",56,,1-10M,1-10,2021-02-08,Miami Gardens,FL,US,+19543945474,,"Straight Move is a moving company based in Miami that offers a range of services for both residential and commercial moves. Their main functionalities include local, long-distance, and specialized moving for homes, offices, and businesses, as well as packing, unpacking, and storage solutions. Key features include personalized consultations to tailor moving strategies, professional packing and unpacking services, junk removal, and secure storage options. The team consists of licensed and insured",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,lanesmoving.com,Lanes Moving and Storage,Lanes Moving and Storage,yes,"SUPPLY_CHAIN_AND_PROCUREMENT:0.79, CONSUMER_SERVICES:0.2","B2B:0.9, B2C:0.83",107,,1-10M,1-10,2017-04-11,Lima,OH,US,+14192283624,"info@lanesmoving.com, jan@lanesmoving.com","Lanes Moving and Storage is a moving company based in Northwest Ohio that offers local, intrastate, interstate, and international moving services. They provide comprehensive relocation support for individuals and businesses, handling all aspects of the move from packing to unpacking. Additionally, Lane's Storage offers over 85,000 square feet of clean warehouse space for secure storage needs. Their goal is to create a stress-free relocation experience while ensuring customer satisfaction through",moveplnr-2026-05-29-companies-batch3000-1,2,0,0,public_ok,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,packmanmobilestorage.com,Packman Mobile Storage,Packman Mobile Storage,yes,"CONSUMER_SERVICES:0.93, BUSINESS_PRODUCTS_AND_SERVICES:0.06","B2B:0.9, B2C:0.97",124,,1-10M,1-10,2016-11-03,Apex,NC,US,+19199237542,info@packmanmobilestorage.com,"Packman Mobile Storage offers portable storage and moving services in Raleigh–Durham, with options for both on-site and off-site storage. Customers can choose to store items at their own pace or have them delivered directly to their homes or job sites, allowing them to pack and unload the containers as needed. The service includes a variety of sizes, from small apartments to large houses, and provides flexible storage solutions for home renovations, business needs, and relocation tasks. Packman",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,lubbockmovingco.com,Lubbock Moving Company,Lubbock Moving Company,yes,CONSUMER_SERVICES:1.0,"B2B:0.92, B2C:0.91",62,,1-10M,1-10,2022-09-14,Lubbock,TX,US,"+18065550100, +18063007394, +18067596858, +18068558427, +18883684689",info@lubbockmovingco.com,"Lubbock Moving Company is a full-service moving company based in Lubbock, Texas, offering residential and commercial moving services. Their main functionalities include packing, long-distance moving, and specialized moving for apartments and offices across the U.S., as well as providing packing services and emergency assistance. The company emphasizes customer satisfaction through trained movers, competitive pricing, and safety measures, ensuring a smooth relocation experience for clients. They",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,smartmoverssurrey.ca,Smart Movers Surrey,Smart Movers Surrey,yes,CONSUMER_SERVICES:1.0,"B2B:0.93, B2C:0.95",55,,1-10M,11-50,2020-08-27,Surrey,BC,CA,"+12362605689, +12362605690, +12362605691, +12362633918, +12362645704, +12362655711, +12362665050, +16042003534, +16043911397, +16044720603, +16044720604, +16045212621, +16046154792, +16049461620, +17783832660, +17789527177",,"Smart Movers Surrey is a moving company that offers a range of services for residential and office moves in the area. Their main functionalities include long-distance moving, furniture assembly, packing, unpacking, cargo delivery, and garbage removal. With over 20 years of experience, their trained team provides personalized service, ensuring safe and efficient relocation while maintaining high standards of customer satisfaction. They also offer free quotes and have facilities for secure storage",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,makepeacewithorganizing.com,Make Peace with Organizing,Make Peace with Organizing,partial,CONSUMER_SERVICES:1.0,"B2B:0.91, B2C:0.9",99,,<1M,1-10,2018-08-04,Marblehead,MA,US,+18572054072,,"Make Peace with Organizing is a professional organizing service that specializes in home decluttering and senior move management for individuals and businesses in Massachusetts, New Hampshire, and Southern Maine. The company offers tailored organization solutions for homes and workspaces, including kitchens, closets, and offices, ensuring efficient and functional spaces. Key services include senior move coordination, decluttering, packing and unpacking, donation management, and flexible scheduli",moveplnr-2026-05-29-companies-batch3000-1,0,0,0,unreachable,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
General Moving Companies in US / CA,no_contacts,87moverslasvegas.com,87 Movers Las Vegas,87 Movers Las Vegas,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.96",47,,10-100M,1-10,2021-02-06,Henderson,NV,US,+17029961787,"booking@87movers.com, booking@87moverslasvegas.com","87 Movers is a moving company based in Las Vegas that offers a variety of relocation services for residential, commercial, and specialized moves. Their main functionalities include local and long-distance moving, packing, furniture removal, storage solutions, and specialty moving services such as art and antique moving. They provide same-day service, transparent pricing with no hidden fees, and have over 30 years of experience in the industry, ensuring reliable support throughout the move proces",moveplnr-2026-05-29-companies-batch3000-1,0,1,0,catchall_only,2026-05-29,,,,,,,,,,,,,,,,,,,,,,05-29
